Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8
1763470576.567909,0,-1,-1,3,3,-1,-1,-1
1763470576.5827415,-1,-2,-2,1,-5,-1,1,-2
1763470576.605236,-1,-2,-5,-1,-2,1,1,-1
1763470576.6352568,-2,0,1,1,-3,-5,-2,-1
1763470576.6427734,-1,-1,-1,-1,-5,-3,-3,-2
1763470576.6651971,-2,-2,-2,2,2,-2,-1,-1
1763470576.687697,1,0,2,12,17,3,0,-1
1763470576.7021086,0,-1,-1,-1,-5,-2,0,-1
1763470576.7088583,-2,-1,0,1,1,0,1,-1
1763470576.7252674,-1,-3,-2,-3,-4,0,-1,1
1763470576.7478073,0,-2,-2,0,-4,-1,-1,0
1763470576.7621465,-1,-2,-3,-6,-9,-2,0,-1
1763470576.7691898,-2,0,-1,-2,-5,0,-1,-2
1763470576.7852864,-1,0,1,-5,-2,-2,-1,-1
1763470576.8078144,-2,0,-3,-4,-5,-3,-3,-2
1763470576.8220956,0,-2,1,-3,0,1,1,0
1763470576.8289535,-2,-2,0,2,7,-4,-3,-2
1763470576.8451645,-1,0,-1,0,-5,-1,-1,-2
1763470576.8682199,-1,-1,-2,0,-2,0,-1,-1
1763470576.882129,0,1,2,-2,0,0,0,-1
1763470576.8892248,-1,0,-5,-8,-1,-2,-1,-1
1763470576.905255,-1,-2,0,-3,-1,0,-1,-2
1763470576.927698,-1,0,-2,0,0,0,-2,0
1763470576.9420176,-3,-1,-1,2,2,0,0,0
1763470576.9487948,-2,-2,-1,-1,-1,-1,-1,-1
1763470576.9651833,0,-1,-2,-5,-3,-1,-2,-1
1763470576.9877462,0,-1,-1,1,-1,-1,0,-1
1763470577.0020301,-2,-2,2,8,3,-1,-1,-2
1763470577.008861,-2,-1,-2,0,-2,-1,0,0
1763470577.0241973,-1,-2,-2,-3,-4,1,-3,-1
1763470577.0328717,0,-2,-1,-3,-6,0,-1,0
1763470577.0477626,0,-1,-1,-3,-1,-2,-1,-2
1763470577.062006,-1,0,-1,1,2,-2,-1,-3
1763470577.0688531,-3,-1,-2,-2,-2,0,2,-2
1763470577.085467,-1,-1,0,-6,-3,-1,-2,2
1763470577.1076994,-1,0,-1,-2,0,-2,0,0
1763470577.1213322,-2,0,0,3,-1,-2,-1,0
1763470577.1302996,-1,-1,0,2,3,0,0,-1
1763470577.1452842,-1,-1,1,2,0,1,-2,-1
1763470577.167792,-1,0,-1,0,2,1,2,0
1763470577.181324,-1,-2,-3,-7,-2,-2,-1,0
1763470577.190455,-1,-2,-2,0,-5,-1,-1,-3
1763470577.205227,0,-1,0,1,-3,-1,1,-1
1763470577.2276733,0,-1,-1,3,-5,1,-1,-2
1763470577.2413373,-1,-1,1,-1,3,-2,-1,-1
1763470577.250347,-2,-1,-2,0,2,-1,-2,0
1763470577.2651408,-1,-3,-2,-1,5,0,-1,1
1763470577.2878556,-1,-3,-2,8,10,0,-1,-1
1763470577.30156,0,-2,-2,-6,-7,-1,-1,-2
1763470577.3105116,-2,-1,0,1,-2,-3,-1,-1
1763470577.3252192,-2,0,0,-3,-1,-2,0,2
1763470577.347744,-2,-1,0,-2,-5,-2,-1,-1
1763470577.361244,0,-1,-1,10,-3,1,-1,-1
1763470577.3702602,-1,0,-2,-1,1,0,-1,-1
1763470577.3853087,-1,-2,-5,-7,-2,-1,-2,-1
1763470577.4077108,0,0,1,-3,-3,0,-1,-1
1763470577.4213314,-3,-2,-2,-4,0,-1,0,-3
1763470577.430285,0,0,0,-6,-5,-3,-2,-2
1763470577.4451497,-1,-1,-1,-3,-3,-2,-2,0
1763470577.4681299,1,-3,-4,0,-6,1,-1,-1
1763470577.481301,0,0,-2,-3,3,-1,0,-1
1763470577.4902346,-1,-2,0,6,4,0,0,-2
1763470577.5052502,1,1,0,-1,3,-2,-2,0
1763470577.5276153,-1,-1,1,2,-2,0,-1,-2
1763470577.5413363,-1,-1,-2,-2,-1,-1,-1,-1
1763470577.5578322,0,0,2,13,1,-1,-2,0
