Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,State
1763757086.311033,-3,-1,-4,3,-1,-2,-1,0,REST
1763757086.3179128,-1,-2,-2,1,0,-1,-2,0,REST
1763757086.3328426,-2,-1,-1,-2,-2,0,0,1,REST
1763757086.3561172,1,1,0,-2,-3,0,-1,-1,REST
1763757086.3860707,-1,-2,-1,-1,1,0,-1,-2,REST
1763757086.4010122,0,-1,-1,-5,0,-2,0,1,REST
1763757086.415326,0,-2,-1,-2,-1,-2,-2,-2,REST
1763757086.4221592,-2,-2,0,1,-2,-1,1,-2,REST
1763757086.438629,-1,0,2,2,-2,0,-1,-1,REST
1763757086.4613762,0,-3,-4,-2,0,-1,-1,-1,REST
1763757086.4746733,-1,-1,-2,5,-2,0,0,-1,REST
1763757086.4920967,-1,-1,1,2,-1,-1,-2,-1,REST
1763757086.498461,-3,0,1,-1,0,1,1,-1,REST
1763757086.5209117,-3,-1,-1,-4,0,-1,-2,0,REST
1763757086.5346363,-1,-3,-1,-2,0,0,0,-2,REST
1763757086.5435617,0,0,-1,-3,-2,-2,-1,-1,REST
1763757086.5735266,0,1,-2,-3,-3,0,-1,2,REST
1763757086.5832055,0,0,-2,-5,-2,-2,-2,0,REST
1763757086.5946593,-1,0,0,0,-2,-2,-1,-3,REST
1763757086.6035109,0,-2,-1,1,-2,-1,1,-1,REST
1763757086.6183686,-1,-2,-1,0,-1,-2,0,-1,REST
1763757086.6409297,1,2,1,0,-1,-2,-2,-2,REST
1763757086.6547427,-1,-1,0,1,0,0,-1,-1,REST
1763757086.663952,-1,-1,-2,0,0,0,-1,-1,REST
1763757086.6787117,0,0,-3,0,-2,-1,1,-1,REST
1763757086.7012148,-1,-2,0,-4,0,0,-1,-2,REST
1763757086.7147992,-1,-1,-4,-5,1,-1,2,1,REST
1763757086.7236733,-1,1,1,0,-2,-1,-2,0,REST
1763757086.7387073,-2,-1,1,2,0,-1,-4,-1,REST
1763757086.7602458,1,0,1,0,-2,-2,0,-1,REST
1763757086.7689333,-1,-2,1,2,-2,0,-2,-2,REST
1763757086.7748427,-2,0,0,8,2,-1,0,-1,REST
1763757086.783697,0,0,-1,0,-1,0,1,-1,REST
1763757086.7986329,-3,0,-1,-2,-3,-1,-1,-1,REST
1763757086.8211439,-1,-1,-2,-2,-3,-1,-2,-2,REST
1763757086.8346655,0,-2,0,-1,0,-1,0,-1,REST
1763757086.849573,-2,0,1,0,0,-2,-1,-1,REST
1763757086.8584557,-2,-3,-2,3,1,-2,-2,-1,REST
1763757086.881071,0,0,1,-2,-1,-2,-1,1,REST
1763757086.9034255,-2,-1,-4,-4,-3,0,0,0,REST
1763757086.918525,0,-2,0,-4,-2,0,-1,-1,REST
1763757086.9411337,-2,-2,-2,-1,-2,0,0,-2,REST
1763757086.9635124,-1,-1,1,-2,-1,-1,0,0,REST
1763757086.9776711,-1,0,-2,-1,-1,-2,-1,-1,REST
1763757086.9861407,-1,-1,-2,-3,1,-2,-2,0,REST
1763757087.0009255,-1,-2,-2,8,1,-1,-1,0,REST
1763757087.0240402,-1,0,-1,-3,-2,-1,-2,-1,REST
1763757087.0380845,-1,-1,0,-1,-2,0,-3,-2,REST
1763757087.0448487,0,-2,1,-1,-3,0,0,-1,REST
1763757087.0609791,-1,-2,-1,-3,-1,0,-2,0,REST
1763757087.0834925,-2,-1,1,-2,-1,0,1,-2,REST
1763757087.097815,-1,-1,-4,-4,1,-1,-2,-1,REST
1763757087.104742,-1,-2,-2,0,0,-1,-1,-3,REST
1763757087.1202378,0,0,-1,-1,-2,-1,-2,-1,REST
1763757087.128605,-2,-2,-3,-2,1,0,0,0,REST
1763757087.1435418,-1,0,-4,-2,-1,-1,0,-2,REST
1763757087.1579099,-1,-2,0,-3,0,-2,1,1,REST
1763757087.1645443,0,-2,0,2,-1,0,-2,-1,REST
1763757087.1811113,1,-4,-3,-3,0,-1,-1,-1,REST
1763757087.20352,1,2,0,3,1,-1,0,0,REST
1763757087.2180188,-1,-1,-1,-3,-2,-1,-2,-1,REST
1763757087.224627,-1,-2,0,1,-1,-1,0,0,REST
1763757087.2409666,0,-1,-2,-1,-1,0,1,-1,REST
1763757087.2638113,-3,-1,-1,1,-2,0,-1,-2,REST
1763757087.277935,2,0,0,0,0,-2,-1,0,REST
1763757087.2846992,-1,1,-2,-1,0,0,0,0,REST
1763757087.3015478,-2,-1,-1,-2,0,-1,-1,0,REST
1763757087.323532,1,-2,-1,1,-1,0,-1,0,REST
1763757087.337036,-1,-1,0,-1,-2,-2,0,-2,REST
1763757087.346068,-1,0,-3,-3,1,-1,-1,-1,REST
1763757087.360925,0,0,-1,-4,0,-1,-2,0,REST
1763757087.3911886,-1,0,-1,-5,-3,-2,-1,-1,REST
1763757087.405953,-2,0,-3,0,-1,0,-1,0,REST
1763757087.4209204,-1,-1,1,-1,-1,-2,-1,-2,REST
1763757087.4436333,-1,-2,1,6,2,-1,-2,0,REST
1763757087.4570706,-1,0,-1,0,-3,0,-1,-1,REST
1763757087.4661376,-1,1,0,1,-2,1,-1,-1,REST
1763757087.4811935,-2,-2,0,-1,-2,0,-3,0,REST
1763757087.503264,-1,-1,-4,-3,-1,-1,-1,-1,REST
1763757087.5112464,0,-2,1,-3,-2,-1,-2,-1,REST
1763757087.5171301,-3,-2,-3,-4,-2,-1,0,-3,REST
1763757087.526232,0,-1,0,0,-1,-2,0,-3,REST
1763757087.5486372,-1,-1,0,-3,-1,-1,-1,-3,REST
1763757087.5635798,0,-1,-2,0,0,-1,0,-1,REST
1763757087.5776534,-2,1,-1,-3,-2,-2,-1,1,REST
1763757087.586162,-1,-1,-1,0,-1,-2,0,0,REST
1763757087.601615,2,-2,-1,-1,-3,-1,-1,1,REST
1763757087.6234765,-1,-1,-3,-3,0,0,0,-2,REST
1763757087.637214,-2,-3,1,0,0,-2,-1,0,REST
1763757087.646156,0,0,-1,1,1,0,-1,0,REST
1763757087.6609926,0,-1,-1,1,-2,-1,-2,0,REST
1763757087.6839228,-1,0,0,-1,-2,0,-1,-2,REST
1763757087.697045,0,1,-4,-3,-1,-1,-2,-2,REST
1763757087.7060623,-2,0,-2,-1,-1,-1,-1,0,REST
1763757087.7208734,-1,0,1,1,-2,0,-1,0,REST
1763757087.7437131,-1,-2,-1,-2,1,-1,-1,-1,REST
1763757087.757481,0,-1,-2,-2,1,0,-1,0,REST
1763757087.7664075,-2,-1,-5,-5,-1,-2,-1,-2,REST
1763757087.7801344,-3,-1,-1,0,-2,-1,-1,-1,REST
1763757087.7886388,0,-1,0,-1,-2,0,-2,-2,REST
1763757087.8036258,-1,-2,-3,0,2,-1,0,0,REST
1763757087.8260024,-1,0,2,-1,-2,-1,-3,-1,REST
1763757087.847688,-1,0,-1,1,-2,-1,1,-1,REST
1763757087.8561585,0,-1,0,-2,-1,0,-1,-2,REST
1763757087.863527,-1,-1,-1,0,1,-2,0,-2,REST
1763757087.886168,-3,-3,-3,-2,0,-1,-1,0,REST
1763757087.9008932,0,-1,-1,-6,-5,-1,0,0,REST
1763757087.9235482,-1,-1,-1,1,-2,-1,-2,-3,REST
1763757087.945073,-1,-1,0,0,0,-2,-2,-3,REST
1763757087.95367,-1,-1,0,2,-3,-1,-1,-2,REST
1763757087.9597144,0,-2,2,9,-1,-2,0,-1,REST
1763757087.9685578,-2,-2,-2,-1,1,-1,-1,-1,REST
1763757087.9835637,-1,-1,-2,-4,-1,0,-1,0,REST
1763757088.0059543,0,0,1,-3,-1,-3,-3,0,REST
1763757088.0203345,1,1,0,1,4,-1,-2,-1,REST
1763757088.0270803,1,1,-3,-4,-3,-2,-2,-2,REST
1763757088.0436594,0,-2,-2,-3,-4,-1,0,-1,REST
1763757088.066121,-1,-3,-2,-2,1,-1,1,-1,REST
1763757088.0804844,-1,-1,-2,2,-2,0,-1,-2,REST
1763757088.087232,-1,-3,-4,-6,-3,-2,-1,-1,REST
1763757088.103553,0,1,-1,1,-2,0,-1,-2,REST
1763757088.1263006,-1,-1,-2,-1,0,-1,0,1,REST
1763757088.1403813,-1,0,-1,-4,-2,-1,-1,-1,REST
1763757088.1473389,0,0,0,-2,-1,-1,-1,-1,REST
1763757088.1638336,-3,0,-1,-5,-1,-2,-1,-2,REST
1763757088.1862876,-1,-3,-2,-1,0,-1,0,-2,REST
1763757088.2002912,-1,0,0,1,-1,0,-3,-1,REST
1763757088.2071438,-2,-1,-3,-1,-1,1,-1,-1,REST
1763757088.2386234,-2,-1,1,-2,-1,-2,-1,-1,REST
1763757088.246083,-1,0,0,-1,-2,0,-2,-1,REST
1763757088.2619736,0,-2,0,0,0,1,0,0,REST
1763757088.267975,-1,-2,0,0,0,-1,-2,-2,REST
1763757088.283531,-2,-3,-3,0,-1,-2,-2,-1,REST
1763757088.3059876,0,0,-2,6,1,-3,0,-1,REST
1763757088.3197765,0,-1,-3,-6,-5,1,-2,-1,REST
1763757088.3286488,0,1,-1,2,1,0,0,-1,REST
1763757088.344046,-1,-3,-1,-2,0,-3,0,-2,REST
1763757088.3660975,-2,-2,-2,-8,-1,-1,1,-2,REST
1763757088.379666,1,-1,-5,-3,2,0,-1,0,REST
1763757088.3886697,-1,-1,-2,0,-1,0,-1,-3,REST
1763757088.402705,-1,-1,-1,-3,-3,-1,0,0,REST
1763757088.411221,0,-1,1,1,1,-1,1,-2,REST
1763757088.4334767,-3,-2,-2,2,-2,1,0,-1,REST
1763757088.439563,0,0,-1,1,0,1,-3,-1,REST
1763757088.4487517,-1,-1,0,3,0,-1,0,1,REST
1763757088.4635334,0,0,1,0,-1,0,-2,1,REST
1763757088.4864655,-1,-3,-1,1,0,-3,-3,-1,REST
1763757088.4997506,-1,0,-1,-3,1,3,2,-1,REST
1763757088.516237,-1,-2,-1,-3,-3,-1,-1,-3,REST
1763757088.523587,-3,-2,0,0,-3,-2,-2,-2,REST
1763757088.5460343,-1,1,-1,0,-3,-1,0,-2,REST
1763757088.5596476,0,-1,1,0,2,-2,0,0,REST
1763757088.568762,0,-3,-1,-2,-1,-1,0,-2,REST
1763757088.5835428,0,0,1,2,-2,-3,-1,-2,REST
1763757088.6071014,-2,-3,-3,-2,-2,-3,-1,0,REST
1763757088.6121502,0,-1,-1,-1,-1,-1,-1,-2,REST
1763757088.6286128,-1,0,1,-1,0,-2,-1,0,REST
1763757088.6436222,-2,-1,-2,1,-2,0,-1,-1,REST
1763757088.665984,0,0,-1,8,0,-1,0,-2,REST
1763757088.6796274,-2,-2,-1,-3,1,1,1,0,REST
1763757088.6886346,-1,-2,-1,-1,0,0,2,0,REST
1763757088.703441,-1,-1,0,-3,1,-2,-1,-2,REST
1763757088.7262826,-1,-2,-2,-3,-3,-3,0,-1,REST
1763757088.7397065,-2,-2,-1,1,-2,1,-2,0,REST
1763757088.748638,-1,-1,0,-1,-4,-1,-1,0,REST
1763757088.7636895,0,1,-2,-7,0,-1,0,-1,REST
1763757088.786102,-1,1,-2,-1,-1,0,-1,0,REST
1763757088.8084033,-2,0,0,-1,0,0,-1,-1,REST
1763757088.8150651,-3,-3,-5,-1,-2,0,-1,0,REST
1763757088.8237236,-2,-3,-3,-1,-3,-2,0,-1,REST
1763757088.8467731,0,-2,-4,-4,-1,1,-2,-1,REST
1763757088.869067,0,-2,0,-4,-3,-2,-1,-1,REST
1763757088.8835104,-1,0,2,6,0,-1,0,0,REST
1763757088.9060745,-2,-1,1,-3,-2,-1,0,0,REST
1763757088.9287982,-1,-2,-1,-2,-2,-2,-2,-2,REST
1763757088.9429018,1,0,0,0,4,2,-2,-1,REST
1763757088.9497015,-1,-2,-4,-7,-4,-1,-1,-2,REST
1763757088.9659996,-1,-1,-1,0,-3,-2,0,-1,REST
1763757088.9885216,-1,0,-2,-1,-2,-1,-1,-1,REST
1763757089.0030308,-1,-1,-1,0,-2,-1,0,1,REST
1763757089.009823,0,-1,1,0,-2,-2,-1,0,REST
1763757089.025989,-2,-2,-4,-5,0,-1,1,-2,REST
1763757089.0486493,-1,0,1,0,-1,-1,-2,-1,REST
1763757089.0630016,-1,-2,0,0,-2,-3,-1,-1,REST
1763757089.0696228,-1,0,0,0,1,-2,0,0,REST
1763757089.0859911,-1,0,1,-2,0,-1,0,1,REST
1763757089.108627,-1,-1,-3,-3,-2,-1,-1,-2,REST
1763757089.1309206,-2,0,2,1,-1,-1,-2,-1,REST
1763757089.1462092,-3,-1,-2,0,1,1,2,-1,REST
1763757089.1683495,-1,-2,-3,-4,-3,-2,-3,-1,REST
1763757089.1745787,-1,-1,-2,-1,-1,-2,-1,1,REST
1763757089.1828985,-1,0,0,1,0,-2,1,-1,REST
1763757089.189565,0,-1,-3,-3,0,0,0,-3,REST
1763757089.2063773,-1,-3,-1,-5,-1,-3,-3,1,REST
1763757089.2285614,-1,-2,1,1,0,-1,-1,-1,REST
1763757089.2422543,0,-3,-3,7,-1,-1,-2,0,REST
1763757089.2512965,1,1,-1,-2,1,-1,-2,0,REST
1763757089.2661939,1,0,0,-2,1,-2,0,-2,REST
1763757089.2886581,-2,0,-3,-5,-2,0,-1,-1,REST
1763757089.3023,0,-1,-1,-5,0,1,0,1,POWER
1763757089.3112488,-1,-2,0,0,-3,0,-1,0,POWER
1763757089.3345318,-1,-2,-1,-1,1,-2,0,-2,POWER
1763757089.3484695,0,0,0,-1,-2,-2,-1,-2,POWER
1763757089.3622043,0,0,-1,1,-1,0,-3,0,POWER
1763757089.3711617,-2,-1,1,-2,-3,-2,-1,0,POWER
1763757089.3864648,-1,0,-2,-3,-1,-1,-1,0,POWER
1763757089.4091501,-2,-4,-2,1,-2,0,-1,-1,POWER
1763757089.4228103,0,1,0,1,-2,1,0,0,POWER
1763757089.4313526,1,1,1,1,2,2,-1,-1,POWER
1763757089.446581,-1,0,0,0,0,-2,-1,-2,POWER
1763757089.4688628,0,-1,0,7,1,4,0,-1,POWER
1763757089.4826796,-1,-1,-2,-2,-2,-2,-2,-2,POWER
1763757089.4915993,-1,-1,0,0,-1,0,-1,-2,POWER
1763757089.506492,-2,-2,-1,-3,-2,0,-1,-2,POWER
1763757089.5295744,-1,1,-2,-5,-2,-2,-1,-2,POWER
1763757089.5429647,0,0,0,-2,0,-2,-1,1,POWER
1763757089.551337,-1,-1,-4,-3,1,2,-2,0,POWER
1763757089.5667782,-2,0,-1,-2,0,0,-3,-1,POWER
1763757089.5890117,-2,-2,0,-1,0,0,1,-2,POWER
1763757089.6021886,1,0,-1,-6,-3,-2,0,-1,POWER
1763757089.6115558,-2,-2,-1,-1,-1,-1,-1,0,POWER
1763757089.626833,-1,-1,-1,0,6,-2,-1,0,POWER
1763757089.6492693,-1,-3,-2,0,-6,0,2,0,POWER
1763757089.6628108,0,-2,-2,-2,1,-1,-1,-1,POWER
1763757089.6725051,0,-1,-3,0,-1,1,-1,-1,POWER
1763757089.686639,0,-2,-2,-4,0,-2,-2,-1,POWER
1763757089.7090538,-2,-2,0,4,-2,0,-2,-1,POWER
1763757089.7313874,-2,-1,0,2,-2,1,-2,-2,POWER
1763757089.746641,-2,2,2,3,0,-2,0,0,POWER
1763757089.7687502,1,-3,-2,4,-1,-2,0,0,POWER
1763757089.7906632,-1,1,2,-10,-10,-7,0,-1,POWER
1763757089.799128,-3,-6,-13,12,32,-1,1,-3,POWER
1763757089.8060644,1,3,4,21,-2,6,-8,1,POWER
1763757089.8291209,-5,-17,-16,5,-4,-9,-2,-4,POWER
1763757089.851923,-1,2,2,-25,-43,1,-1,0,POWER
1763757089.857688,3,7,6,-8,20,-4,0,0,POWER
1763757089.865832,21,7,-7,-7,5,1,4,2,POWER
1763757089.872879,0,-6,-8,-26,-19,-19,26,4,POWER
1763757089.889169,10,8,9,25,3,2,-17,-19,POWER
1763757089.9026542,20,-9,6,22,20,8,-4,10,POWER
1763757089.9114792,-91,-22,0,0,-4,29,18,-21,POWER
1763757089.9253423,15,7,1,-23,0,-1,-8,6,POWER
1763757089.9321659,6,-5,-11,-40,6,-19,-3,-4,POWER
1763757089.9489965,57,1,4,-2,-27,-19,-11,12,POWER
1763757089.97111,-72,5,-4,-8,63,6,46,2,POWER
1763757089.9847388,65,2,-11,-4,4,6,-9,11,POWER
1763757089.9937348,-20,-6,-7,-9,-3,16,27,-5,POWER
1763757090.0090768,12,5,0,-1,19,28,87,14,POWER
1763757090.0310743,-20,-7,-8,-14,-20,-24,-35,-7,POWER
1763757090.044818,-23,-10,-14,-29,-8,43,74,3,POWER
1763757090.0536914,-2,-12,-3,-18,-54,-28,-10,-8,POWER
1763757090.0685682,12,9,11,-2,-27,-19,-34,-5,POWER
1763757090.0910723,-43,-3,4,5,0,-22,-37,0,POWER
1763757090.1047883,25,-4,4,27,6,-10,-28,0,POWER
1763757090.1155326,-8,4,1,11,9,-1,-2,-5,POWER
1763757090.1286552,-2,-2,-10,-3,18,-10,-43,3,POWER
1763757090.15152,9,3,7,-37,-5,-12,-12,-7,POWER
1763757090.1812778,2,-1,3,16,-24,8,-13,-11,POWER
1763757090.1886353,7,-1,-3,10,12,-18,23,-5,POWER
1763757090.211122,2,-3,-2,21,34,21,21,-2,POWER
1763757090.2247763,-11,-8,-7,-26,-19,38,44,2,POWER
1763757090.2335432,6,-1,2,11,-7,20,30,6,POWER
1763757090.2484488,11,4,4,10,29,10,4,14,POWER
1763757090.2714584,-1,0,-4,-1,17,-1,-23,-1,POWER
1763757090.2850983,-3,-5,-7,-13,-35,6,6,-3,POWER
1763757090.2935388,-13,-12,-32,-29,4,32,30,-8,POWER
1763757090.3086715,6,-2,4,33,-2,17,-1,-3,POWER
1763757090.3310878,-1,-2,3,-4,-9,-37,-64,6,POWER
1763757090.3447828,3,0,1,3,26,-46,-36,17,POWER
1763757090.3536558,-11,-14,-38,5,14,36,-24,-19,POWER
1763757090.3686604,2,4,1,-2,-36,4,8,-6,POWER
1763757090.3925562,13,4,-8,-6,-24,-7,36,-19,POWER
1763757090.4047675,-22,0,5,-15,-7,-64,-26,-12,POWER
1763757090.4136064,10,2,14,-2,68,-7,-14,6,POWER
1763757090.4286067,-3,0,6,12,-6,82,41,7,POWER
1763757090.4585693,-17,-4,-1,-21,5,-16,-44,-9,POWER
1763757090.4645925,1,12,0,8,67,49,-15,-7,POWER
1763757090.4812033,-4,0,-14,-9,-9,60,41,-1,POWER
1763757090.4885411,6,-6,2,5,46,-70,-3,6,POWER
1763757090.5110326,-5,-2,-4,12,4,-7,-5,1,POWER
1763757090.5246024,18,-2,0,-5,-35,-82,1,8,POWER
1763757090.5337265,-5,5,20,4,6,96,30,15,POWER
1763757090.5480638,-17,-12,-39,-27,-11,44,51,-9,POWER
1763757090.554689,-45,6,0,-53,-128,-1,-83,-8,POWER
1763757090.571167,-3,3,5,-29,52,-64,-16,31,POWER
1763757090.5847545,7,-17,-40,5,-64,-34,-43,7,POWER
