Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,State
1763988046.0861456,-2,-1,-2,-4,-1,-1,1,0,REST
1763988046.1013188,4,0,-1,-1,-2,-2,-1,-3,REST
1763988046.109049,-3,-1,-4,0,-3,-4,-3,-2,REST
1763988046.1237419,-2,0,-1,-1,5,-1,0,1,REST
1763988046.1461494,0,2,0,2,-3,0,-5,-1,REST
1763988046.1598356,0,-3,-1,-4,-3,-2,-4,0,REST
1763988046.1688488,-3,2,1,1,-1,1,-3,0,REST
1763988046.183743,-1,0,-3,0,-2,0,-3,-2,REST
1763988046.206138,1,-1,1,1,-3,-3,0,0,REST
1763988046.2199028,1,3,0,0,-3,0,-1,-2,REST
1763988046.2288845,-2,-3,0,-2,1,-2,-2,-2,REST
1763988046.2435546,-2,-2,-2,-2,-4,-2,0,-1,REST
1763988046.2500339,0,-1,-3,-1,0,0,-2,0,REST
1763988046.2662718,-2,0,0,1,0,-4,-1,-1,REST
1763988046.2887695,0,-3,-2,-3,0,-1,0,-1,REST
1763988046.303707,-1,2,1,0,-4,-1,-1,-1,REST
1763988046.333668,-2,-2,-1,-2,0,1,0,-1,REST
1763988046.3486464,-1,-1,-1,0,3,-4,-3,0,REST
1763988046.363686,-3,-2,1,0,2,-1,-3,2,REST
1763988046.3861277,2,-1,-1,-4,-4,1,0,-2,REST
1763988046.4086936,0,-1,-1,-1,-1,-1,-2,-2,REST
1763988046.423658,0,-2,-2,-1,0,1,-2,0,REST
1763988046.4460542,-2,0,-1,0,5,2,0,1,REST
1763988046.4686568,2,1,-1,-1,-11,-3,0,1,REST
1763988046.48273,-1,-1,-4,0,-4,-4,-3,-6,REST
1763988046.4913766,-1,0,0,-1,-1,-2,-2,-1,REST
1763988046.5062904,-4,1,1,-1,-9,0,-2,0,REST
1763988046.5361972,1,3,2,-5,0,0,0,1,REST
1763988046.543053,-2,-2,2,4,-4,-1,-1,1,REST
1763988046.5497997,0,-2,0,-5,-2,-1,-1,-2,REST
1763988046.5661414,0,-2,-1,-2,-5,-1,1,-2,REST
1763988046.5886915,-5,-1,-2,-2,9,0,-2,-2,REST
1763988046.6030972,-1,-3,-1,0,4,0,-2,-1,REST
1763988046.6098368,-2,1,0,-1,-8,-2,-2,1,REST
1763988046.6261165,0,-1,-1,-2,-1,-2,-2,1,REST
1763988046.6486564,0,0,-1,-4,2,-1,-1,-1,REST
1763988046.6630387,-1,-2,-1,-2,-1,-3,-2,-2,REST
1763988046.669907,-3,0,-2,1,21,2,0,-2,REST
1763988046.6938345,-2,0,-4,0,0,-4,0,-1,REST
1763988046.7086933,-2,-5,-8,-6,1,-1,1,-2,REST
1763988046.7314332,0,-3,3,0,-4,-2,0,-1,REST
1763988046.7476015,-1,0,3,-5,-16,-1,-3,-1,REST
1763988046.768649,-1,7,-4,2,24,1,1,-2,REST
1763988046.782341,1,-2,4,7,-1,-2,1,-1,REST
1763988046.7913978,1,-4,-5,-4,-2,1,-3,0,REST
1763988046.8062851,1,9,-17,-5,0,0,-2,-1,REST
1763988046.8287895,0,-16,-6,0,-6,1,-4,3,REST
1763988046.8424885,1,2,23,12,-6,0,-2,-1,REST
1763988046.8514736,2,2,7,-1,6,-1,1,-2,REST
1763988046.8738284,-2,-4,33,-4,-23,-2,-1,2,REST
1763988046.888727,-4,-8,-15,-4,29,0,5,-1,REST
1763988046.9025185,-2,1,-8,-9,-7,-1,-1,2,REST
1763988046.9114826,-3,3,0,3,8,0,0,-2,REST
1763988046.926139,-4,-14,11,8,-14,-6,-3,-3,REST
1763988046.9479551,2,14,3,0,-17,1,3,0,REST
1763988046.9563215,-3,4,-9,0,38,-1,1,-1,REST
1763988046.962421,-4,0,-5,-1,13,0,-2,-5,REST
1763988046.9713876,2,-4,-11,-20,-41,-5,-5,1,REST
1763988046.9862201,0,-1,-9,-1,38,0,-1,0,REST
1763988047.0087366,-1,5,-1,3,-29,2,-7,2,REST
1763988047.031289,-1,4,-5,-5,0,-2,-3,0,REST
1763988047.0457914,-2,-9,-28,-11,10,1,4,-4,REST
1763988047.0524204,2,-4,-9,3,-9,0,-5,-2,REST
1763988047.0693073,-2,-1,0,2,42,-4,5,-2,REST
1763988047.091241,0,1,2,-2,-20,-3,-9,-1,REST
1763988047.1061826,-2,1,9,-2,-15,-2,1,-2,REST
1763988047.1288333,4,1,-5,-3,-11,-1,1,2,REST
1763988047.142402,-1,4,2,-4,-7,4,-10,0,REST
1763988047.1514785,-4,10,4,6,15,-4,0,0,REST
1763988047.1653998,-1,-4,-2,-1,-4,-1,0,-3,REST
1763988047.1725128,1,9,0,1,-10,0,-6,1,REST
1763988047.1888127,-6,-4,-16,-10,9,-3,-2,-4,REST
1763988047.202402,0,-2,10,1,-3,-1,1,-1,REST
1763988047.2114697,-1,2,-6,-1,6,2,-2,0,REST
1763988047.2257445,0,4,-5,-9,-10,-2,-3,-1,REST
1763988047.2333915,-2,-3,-7,-3,2,-1,-1,-3,REST
1763988047.2494464,1,1,6,4,-11,0,-3,-1,REST
1763988047.2787697,-1,-3,-7,-4,1,-1,0,0,REST
1763988047.2857199,1,-2,0,3,-1,1,0,1,REST
1763988047.2924705,1,0,-2,0,-7,-5,0,-3,REST
1763988047.3087995,0,-7,-2,3,10,0,-3,-1,REST
1763988047.3309615,0,5,6,9,12,0,0,0,REST
1763988047.3388686,-3,-6,-11,-7,3,-7,0,-3,REST
1763988047.3456438,-3,1,-1,-6,-13,1,-1,0,REST
1763988047.3523085,2,2,5,5,5,3,-5,-4,REST
1763988047.368662,0,-1,2,6,7,-4,0,-1,REST
1763988047.3911066,0,1,-1,3,-9,1,-1,0,REST
1763988047.405724,0,-5,-3,-6,-3,1,-1,0,REST
1763988047.4122937,-2,-3,-3,-2,5,0,-1,0,REST
1763988047.4388363,-2,-1,2,3,-2,-3,-3,-2,REST
1763988047.4512064,0,1,1,11,68,0,5,-1,REST
1763988047.4651563,-3,-5,-8,-4,14,-1,4,-2,REST
1763988047.473755,1,-5,0,1,5,-1,0,1,REST
1763988047.4885893,3,-2,-1,-4,-23,-4,-4,-2,REST
1763988047.5110707,-2,1,3,3,-12,1,-4,4,REST
1763988047.524798,-3,-3,-7,-8,-8,0,-3,-2,REST
