Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,State
1764004936.2773187,0,2,0,2,2,19,-3,-1,REST
1764004936.293168,-2,-2,0,-1,-3,-15,-1,-2,REST
1764004936.3222184,0,0,-1,-1,3,16,0,0,REST
1764004936.3372228,-1,-1,-1,0,-3,-14,-1,1,REST
1764004936.3523693,-3,0,0,-2,0,8,-1,-1,REST
1764004936.3754506,-1,-3,-3,-5,-1,8,5,1,REST
1764004936.3979754,0,-1,-2,-2,-4,-11,-1,0,REST
1764004936.411585,0,1,0,1,0,6,-3,-1,REST
1764004936.4184911,-3,-2,-2,-2,-1,-6,-1,-1,REST
1764004936.4347706,-1,0,1,0,-2,1,-3,0,REST
1764004936.457361,0,-2,-2,1,6,9,-5,-1,REST
1764004936.4718568,-1,-1,0,-1,-3,1,-1,-2,REST
1764004936.478467,-1,0,1,0,1,13,-1,-2,REST
1764004936.494795,-1,1,-1,-1,-4,-2,0,-2,REST
1764004936.5172899,-1,-3,-1,0,0,0,-1,-2,REST
1764004936.5398688,-3,-1,1,0,-3,-8,-2,0,REST
1764004936.5548537,-2,-2,-2,0,0,5,1,0,REST
1764004936.5772972,-1,0,-2,-2,0,0,-4,-1,REST
1764004936.5917087,-2,-2,-1,0,-1,-1,0,-1,REST
1764004936.598571,-2,-1,-1,0,0,-1,-1,-1,REST
1764004936.6147645,1,-2,0,-2,2,36,1,-1,REST
1764004936.637337,-1,-2,0,-1,-1,-5,0,-1,REST
1764004936.651703,0,-1,-2,-3,2,18,1,-2,REST
1764004936.6584363,1,-1,0,-2,-1,-9,-2,-1,REST
1764004936.6752505,-1,-1,-2,0,-1,-9,1,-1,REST
1764004936.697466,-1,-1,0,0,-3,-13,-1,-1,REST
1764004936.7197554,-2,-1,-1,0,-3,-13,-1,1,REST
1764004936.7349842,-2,0,-2,-3,-1,-6,-1,-2,REST
1764004936.7572877,0,-1,-1,-1,3,38,-1,1,REST
1764004936.7710133,0,0,-1,2,-4,-7,-1,0,REST
1764004936.787269,-1,-1,2,-1,0,-5,-2,0,REST
1764004936.7946343,0,0,-3,-2,-1,-13,-3,-2,REST
1764004936.8173366,1,-1,-1,-1,-3,-10,-3,-2,REST
1764004936.8309622,-2,-2,-2,0,-1,-9,0,-2,REST
1764004936.839999,0,-1,0,0,-1,-2,-2,-1,REST
1764004936.8548245,0,-1,0,-1,-1,-10,-3,0,REST
1764004936.8775365,-4,-1,-1,-2,-1,-3,2,0,REST
1764004936.891104,0,-2,-1,-1,-2,-4,-1,-2,REST
1764004936.9075181,-1,0,0,-1,-1,-3,-1,0,REST
1764004936.914816,-2,-1,1,0,2,5,-4,0,REST
