Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8
1762970725.554768,185,116,313,305,166,287,634,225
1762970725.577251,168,104,230,325,157,263,546,152
1762970725.6147583,123,71,224,419,145,243,486,157
1762970725.6372356,144,71,215,422,144,244,493,166
1762970725.6747286,154,76,243,363,129,247,531,178
1762970725.6973033,156,74,214,329,124,266,485,181
1762970725.7197604,138,71,204,305,139,266,453,154
1762970725.7572882,108,64,208,302,134,291,467,126
1762970725.7797604,82,48,136,298,123,257,443,113
1762970725.8172913,69,64,170,264,103,248,521,104
1762970725.839759,94,67,170,272,111,226,508,116
1762970725.8772542,102,61,156,280,112,242,537,133
1762970725.8997445,102,61,149,233,110,232,498,131
1762970725.9372256,71,38,90,247,111,224,599,112
1762970725.959855,74,36,94,241,105,260,535,105
1762970725.9972608,83,36,91,234,106,278,584,109
1762970726.0197372,85,41,84,234,110,269,500,105
1762970726.057224,63,39,75,165,109,245,421,73
1762970726.0797663,46,39,71,187,100,227,442,64
1762970726.1188102,36,30,65,159,82,228,418,59
1762970726.1397789,33,34,81,178,74,211,493,43
1762970726.177269,36,36,86,198,81,227,445,41
1762970726.199739,40,36,85,201,89,226,411,41
1762970726.237228,45,41,98,227,118,262,305,51
1762970726.2598405,43,41,97,196,118,268,326,50
1762970726.2972705,36,40,110,262,119,276,419,47
1762970726.319723,33,40,105,284,107,253,456,45
1762970726.3572335,41,56,86,268,98,272,504,46
1762970726.3797035,57,66,88,238,95,249,499,53
1762970726.417717,66,78,95,181,92,233,443,54
1762970726.439717,73,75,100,249,105,216,483,121
1762970726.477215,65,57,103,326,107,230,593,130
1762970726.499707,66,56,102,436,127,231,638,133
1762970726.5372195,54,60,97,415,133,211,664,86
1762970726.5598307,56,66,113,425,130,178,639,72
1762970726.5972288,59,91,122,294,116,180,474,65
1762970726.6197433,67,114,173,292,93,174,518,60
1762970726.6571977,66,128,175,292,134,214,526,57
1762970726.6797547,65,124,186,356,132,214,525,56
1762970726.7022321,63,116,175,345,136,214,589,52
1762970726.7397573,55,108,158,366,125,246,558,48
1762970726.7622628,54,105,150,362,85,221,491,47
1762970726.7997239,49,98,162,331,74,205,482,43
1762970726.8221865,48,93,165,444,75,186,421,38
1762970726.8597853,44,87,196,532,88,162,461,39
1762970726.8822439,46,90,206,559,86,182,417,37
1762970726.9197316,49,84,194,506,86,168,414,48
1762970726.942481,51,71,178,426,75,159,411,47
1762970726.9797018,55,82,170,431,78,107,483,47
1762970727.002243,56,97,166,387,86,99,490,47
1762970727.0397491,55,118,255,437,93,100,548,50
1762970727.0622113,69,142,262,394,90,98,486,52
1762970727.0997014,322,156,278,409,73,108,477,76
1762970727.1222563,357,167,266,349,62,119,528,83
1762970727.159752,390,139,209,314,71,145,492,89
1762970727.189765,375,126,208,332,70,146,497,82
1762970727.2197092,191,107,208,364,72,141,382,56
1762970727.2497637,197,103,193,359,68,133,378,54
1762970727.2797277,102,80,203,419,87,144,310,40
1762970727.302219,97,85,227,369,89,161,374,48
1762970727.3396964,72,87,220,374,95,166,411,50
1762970727.36223,76,113,242,310,79,159,440,54
1762970727.399779,83,188,334,358,125,153,384,54
1762970727.4221966,78,188,340,332,127,149,393,57
1762970727.4597366,90,195,422,381,153,130,284,52
1762970727.4822543,75,154,402,359,156,101,266,43
1762970727.5197358,73,133,359,356,157,146,274,38
1762970727.5425227,68,140,327,374,145,157,255,36
1762970727.5796998,54,117,283,411,132,201,257,35
1762970727.602254,53,120,305,463,140,209,212,32
1762970727.6247375,51,111,280,496,160,201,221,32
1762970727.6622586,47,102,276,426,170,186,238,37
1762970727.6847532,40,92,242,376,173,186,280,37
1762970727.7222307,48,89,212,371,189,159,280,37
1762970727.744748,43,72,196,385,184,147,297,35
1762970727.782206,50,92,232,435,177,148,343,39
1762970727.804768,58,118,268,414,161,164,361,41
1762970727.8425176,77,159,346,332,137,154,328,44
1762970727.864705,74,165,350,296,132,135,312,39
1762970727.9023027,66,150,336,294,137,144,432,44
1762970727.924762,50,123,306,283,142,172,441,43
1762970727.9622273,38,81,225,242,125,185,480,45
1762970727.9847453,39,83,225,208,134,194,401,43
1762970728.022195,36,71,171,170,136,197,392,38
1762970728.0447187,35,71,152,180,131,198,370,37
1762970728.082222,32,36,96,176,132,205,286,26
1762970728.1046968,34,37,102,165,105,205,269,34
1762970728.1271946,37,35,107,166,87,192,311,38
1762970728.164725,38,32,92,102,87,255,356,41
1762970728.202207,36,51,103,119,93,265,428,38
1762970728.2247324,37,56,115,156,94,272,422,35
1762970728.2621853,61,58,113,162,82,240,499,33
1762970728.2847333,76,46,102,179,75,228,494,33
1762970728.3222718,84,67,130,219,127,270,484,37
1762970728.3447616,75,73,133,218,122,258,399,38
1762970728.3821852,86,77,140,218,146,283,340,44
1762970728.4041028,84,73,148,164,108,247,272,45
1762970728.426583,90,96,162,160,107,239,303,50
1762970728.4640157,160,95,162,155,136,190,385,58
1762970728.4865618,158,90,151,138,144,199,393,57
1762970728.524002,156,44,81,132,144,180,480,69
1762970728.5465262,129,37,82,131,119,204,475,66
1762970728.5855565,76,39,83,140,81,203,536,70
1762970728.608034,72,47,100,203,87,212,527,68
1762970728.6455004,66,47,93,218,95,190,531,57
1762970728.6665375,50,45,91,216,94,166,467,46
1762970728.7054765,59,54,98,166,91,169,405,41
1762970728.728032,60,54,98,143,90,168,366,41
1762970728.7655163,58,56,99,143,99,178,439,50
1762970728.786549,52,55,89,144,111,228,466,54
1762970728.8255296,49,53,86,178,94,210,457,53
1762970728.8464932,51,56,87,187,85,221,436,54
1762970728.8689883,59,58,92,184,78,210,386,46
1762970728.9140515,57,55,101,191,56,178,403,48
1762970728.9455662,55,53,108,226,70,174,410,48
1762970728.9664958,44,50,109,238,86,194,418,47
1762970728.988971,43,54,110,238,90,216,403,46
1762970729.0264757,36,61,89,161,93,190,408,42
1762970729.0489707,37,60,85,173,100,221,410,44
1762970729.0865884,37,58,76,160,146,255,476,47
1762970729.1091516,38,63,98,172,162,268,510,47
1762970729.133005,37,54,98,174,181,287,485,45
1762970729.1539946,39,57,97,158,193,274,523,49
1762970729.1855276,38,52,100,187,171,270,601,54
1762970729.2065592,35,36,59,158,157,261,545,53
