Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8
1763470469.6693738,0,-1,1,-2,-3,-2,0,0
1763470469.691573,-1,-1,0,-1,-1,0,-1,-2
1763470469.7141998,-1,0,-1,3,0,-2,-3,0
1763470469.7291605,0,0,2,6,-4,0,1,-1
1763470469.751622,-1,-2,-2,-3,-4,0,0,0
1763470469.7656288,-1,-2,-2,-7,-5,0,-2,-2
1763470469.7741718,0,-2,-1,-1,2,-2,-2,0
1763470469.789032,-1,0,0,-4,-6,-2,-1,0
1763470469.8197293,-1,-1,-3,3,1,-1,-1,-1
1763470469.825811,-1,0,0,1,9,-1,-1,-1
1763470469.8326895,-1,0,0,3,-6,1,1,-1
1763470469.849016,0,-2,-2,-2,0,0,0,-2
1763470469.8715944,-2,-2,-1,-3,-2,1,0,1
1763470469.8859088,-1,-1,-1,-3,-3,-2,-1,0
1763470469.8926685,-1,-2,-2,-6,-7,-2,-3,-2
1763470469.916647,-1,-1,2,1,-1,-1,-1,-1
1763470469.9316838,0,-2,-3,2,6,-1,0,-2
1763470469.9458678,-1,-2,-2,2,-2,1,0,-1
1763470469.9601803,-1,-2,-3,-1,1,-2,-1,-1
1763470469.9695861,-1,-2,-2,0,1,-1,-1,-2
1763470469.9915013,-1,0,0,-1,-3,-1,-1,0
1763470470.0069764,-1,-1,-2,1,0,0,-1,-1
1763470470.0131464,0,-2,-2,0,-3,-1,-1,-1
1763470470.0381424,-1,-2,-4,-3,-5,-2,-1,-1
1763470470.0520396,0,-1,0,-5,7,-1,1,0
1763470470.0653033,-1,-1,-1,-2,-6,-1,-1,0
1763470470.0820951,-3,-2,-1,-12,-7,-3,-1,-1
1763470470.089236,0,0,0,2,1,-2,-1,-2
1763470470.1115632,-3,-2,0,3,3,-3,-1,-1
1763470470.1256015,0,-2,0,-6,-10,-1,0,-1
1763470470.1419408,-3,-2,-1,-3,5,-1,0,-1
1763470470.1494143,-2,-2,-1,0,-7,-1,-1,0
1763470470.1716588,0,0,-2,-2,4,-1,-2,0
1763470470.1852353,-1,-2,-4,-3,-3,-1,-1,-1
1763470470.1942065,0,0,1,-6,-5,-1,-1,0
1763470470.209014,-1,-2,-3,-3,0,-2,-2,-2
1763470470.2390456,1,1,-1,-4,-10,1,-1,0
1763470470.2451937,-1,0,0,2,2,-3,0,-2
1763470470.254192,-1,-2,-5,-11,-6,-2,-2,-2
1763470470.2690458,-2,0,2,-3,2,2,-1,0
1763470470.291616,-1,-2,-3,1,1,0,1,-2
1763470470.3052747,0,-1,2,4,-1,3,-2,-2
1763470470.314222,0,1,-2,-1,1,-1,-1,-2
1763470470.3290558,-2,-2,2,-2,-4,-1,-1,-1
1763470470.350728,1,0,-2,1,1,-1,-2,-1
1763470470.359194,-1,-1,1,2,-1,-2,-1,-1
1763470470.3652096,-1,-2,-1,-1,3,0,0,0
1763470470.3741755,-2,-2,-2,-1,0,-2,-1,-1
1763470470.3891342,1,1,0,13,21,1,-1,-2
1763470470.4117532,-1,-1,0,-2,-5,-3,-1,-1
1763470470.4252937,-3,-1,-2,-4,-7,-1,1,-1
1763470470.4342709,0,-1,-3,-5,-6,-3,-1,-1
1763470470.449028,0,-1,-1,-8,-4,-3,-2,0
1763470470.471586,-2,-3,-1,-6,-8,-2,-2,-1
1763470470.485162,0,-1,-2,0,-4,0,0,0
1763470470.4941707,1,-1,0,4,4,2,0,-2
1763470470.5084894,-1,-1,-1,-3,-5,0,0,-1
1763470470.5170565,-2,-1,-1,5,12,2,0,-1
1763470470.531551,0,0,0,0,0,-1,0,-1
1763470470.5541127,-2,0,-1,1,3,-2,-3,-1
1763470470.5692697,0,-2,-4,-4,-3,2,-1,0
1763470470.591608,-1,0,0,0,-3,-3,-1,-2
1763470470.614107,-3,-2,-1,-5,-3,1,-1,-1
1763470470.636582,0,-1,0,-3,3,-4,0,0
1763470470.652128,-1,-1,-2,-2,-1,-1,-1,-1
1763470470.6741521,0,1,-1,-4,-2,1,0,-2
1763470470.6883934,-2,0,0,2,-1,0,-1,-1
1763470470.6951778,-1,0,1,0,-3,0,-1,-1
1763470470.711588,0,-1,-1,-2,3,1,0,-3
1763470470.750381,-3,-3,-1,-5,-5,-4,-3,-1
1763470470.7566817,-1,-2,-3,0,-1,-1,-2,-1
1763470470.7716126,-3,-2,-2,-1,3,0,-2,0
1763470470.7941406,-1,-1,-1,0,-4,-1,-2,1
1763470470.8084097,-2,-2,-4,-4,-6,-3,-1,0
1763470470.8152857,0,1,2,-7,-10,-1,1,0
1763470470.8392947,-1,-1,2,1,0,-1,0,-1
1763470470.8541121,-1,0,1,-2,-4,-1,-1,-1
1763470470.86851,0,0,2,2,-2,-1,0,-2
1763470470.8753505,-2,-2,0,1,-1,-2,1,-1
1763470470.891639,-1,-2,-2,0,0,-1,-2,-1
1763470470.914175,1,1,2,7,4,-1,-1,0
1763470470.9285042,-2,0,-2,13,19,1,1,-1
1763470470.9355066,0,-3,-3,-2,0,-1,-2,0
1763470470.9515543,-2,-1,-1,-4,-7,-2,-3,-1
1763470470.9740534,-2,-2,-2,-3,1,0,1,-1
1763470470.9884372,0,-1,-1,-3,-4,-2,-1,-1
1763470470.9952757,0,1,-1,1,-1,0,-2,-1
1763470471.0116494,-1,-2,-2,-3,1,-1,-2,0
1763470471.0340836,0,0,1,11,13,1,1,-1
1763470471.056653,0,-2,-3,-7,-8,-4,-2,0
1763470471.0717442,0,0,-2,-6,-4,2,-1,-2
1763470471.1016572,-1,0,0,-10,-9,-4,0,-1
1763470471.116513,0,0,0,1,2,-2,-2,-2
1763470471.1315746,-1,-2,2,10,9,-1,1,-2
1763470471.1616015,-1,-1,-5,-5,-8,-1,-2,-1
1763470471.1676586,-1,-3,-1,-13,-12,-4,-2,-2
1763470471.1767905,0,-3,-2,-9,-15,-2,-1,0
1763470471.1916008,-1,0,0,-3,-4,-3,-2,-2
1763470471.2141361,-3,1,0,6,6,0,0,0
1763470471.227749,0,0,-1,-2,-3,-2,-1,0
1763470471.2368274,-3,-2,0,-4,-4,-1,-1,0
1763470471.2517853,-2,0,0,3,-1,-3,-2,-1
1763470471.2742379,0,-1,-1,1,2,-1,0,-1
1763470471.288113,-1,-2,-2,-5,-9,-1,-1,-1
1763470471.2969966,-1,-2,-1,-1,4,-1,-2,0
1763470471.3116035,-1,-2,-1,-1,0,0,1,-1
1763470471.3341784,-2,-2,-3,1,-1,0,0,-1
1763470471.347728,-1,-1,0,-2,-1,-2,0,-1
1763470471.3566265,0,-1,-2,2,6,-2,-1,0
1763470471.3716393,1,-2,-3,-4,-8,-1,-1,-1
1763470471.3940735,-2,-1,0,-2,-3,-2,-2,0
1763470471.407764,-1,0,2,-4,-8,1,-1,-2
1763470471.416723,-1,-1,-1,0,-3,-1,1,-1
1763470471.43167,0,-1,-2,-1,2,0,-2,-2
1763470471.4541037,-2,0,0,1,-2,-2,-1,0
1763470471.4768925,0,-2,0,-1,2,1,-1,0
1763470471.4916599,0,0,1,8,11,-2,1,0
1763470471.5142057,-1,0,-2,-4,-2,-1,-1,-1
1763470471.5370698,-1,0,-1,-3,-1,0,-2,-2
1763470471.551881,-1,-3,-2,0,-2,-2,0,-1
1763470471.5742207,-3,-3,-4,4,3,-1,-1,-1
1763470471.5967155,2,1,2,-3,-5,-1,-2,0
1763470471.6266143,-1,1,-3,-2,-3,-1,-2,0
1763470471.6340945,-1,0,1,4,-7,-1,0,-1
1763470471.656644,-2,-1,1,4,1,-1,0,-1
1763470471.6709883,-1,-1,0,-5,-1,-1,0,-1
1763470471.6777127,-1,-3,-4,-1,-2,-1,-1,-1
1763470471.6941037,-1,1,-1,-1,2,0,0,-1
1763470471.71667,0,0,-1,-2,1,0,0,-1
1763470471.7309732,1,-1,-1,-2,-2,-1,-1,-3
1763470471.737799,-1,1,-2,-3,-6,-2,-2,0
1763470471.754699,0,0,-1,-2,-2,0,1,-1
1763470471.7765143,-1,-6,-2,-3,1,0,-4,0
1763470471.7908936,-2,-3,-3,-3,1,-2,0,-1
1763470471.7977731,2,1,0,3,3,0,1,1
1763470471.8142078,-20,-5,-1,-3,-4,-1,0,0
1763470471.836911,18,-8,0,-1,-1,-1,0,0
1763470471.8508894,-9,-5,-14,-6,1,-1,-3,-4
1763470471.8576741,26,8,14,3,0,1,0,-1
