Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,State
1763756274.8718886,1,-3,-1,2,4,1,2,-1,REST
1763756274.8947084,-2,2,-3,-2,-1,-4,1,0,REST
1763756274.9019144,1,-5,0,-3,-8,4,-2,-2,REST
1763756274.9168274,-1,-1,-1,-2,-2,-3,-2,-2,REST
1763756274.9333317,-2,0,0,-1,2,-5,0,2,REST
1763756274.9546711,-1,-5,2,-4,-9,2,-4,-1,REST
1763756274.9773455,1,0,-3,0,3,1,-2,-2,REST
1763756274.9918933,0,0,1,1,-1,-1,-1,0,REST
1763756275.014279,-2,-2,-2,0,2,0,1,0,REST
1763756275.0370505,0,1,-3,-1,2,-1,-1,-1,REST
1763756275.052185,0,-3,2,1,-6,3,-3,-2,REST
1763756275.074483,-2,1,-2,-2,1,0,3,0,REST
1763756275.0969067,-3,3,-1,0,0,-1,-1,-1,REST
1763756275.1215656,0,-3,-1,-2,-1,-1,0,-1,REST
1763756275.1343691,-1,1,-1,-1,0,-5,-4,-2,REST
1763756275.1568499,-2,-5,1,0,-8,2,-1,-1,REST
1763756275.171833,-2,-3,-2,-1,3,-5,-1,-1,REST
1763756275.19431,1,0,-2,-1,2,-4,0,0,REST
1763756275.216822,0,0,-2,1,-2,-1,1,-3,REST
1763756275.231696,-1,-1,-3,-2,0,-3,0,-1,REST
1763756275.2542672,-1,-2,2,-1,-6,6,-4,0,REST
1763756275.277439,2,-1,-1,-3,1,-3,0,-1,REST
1763756275.291886,-2,-1,-3,-2,-2,0,-3,-1,REST
1763756275.314331,-1,-1,0,-1,-1,-3,-1,-1,REST
1763756275.3368177,0,-2,-1,0,-2,1,0,-1,REST
1763756275.3518233,-1,-4,0,0,-7,3,-2,-1,REST
1763756275.3743415,1,-1,-3,-1,4,-6,3,0,REST
1763756275.3968992,-3,0,-1,1,-2,-4,0,0,REST
1763756275.4117603,-2,0,1,1,-1,-1,0,0,REST
1763756275.4342728,0,1,-1,-2,2,4,0,-1,REST
1763756275.456839,0,0,-1,-3,-2,4,-4,-1,REST
1763756275.4711502,-1,1,-4,-3,6,-5,-1,0,REST
1763756275.4869547,-2,-1,0,1,-2,1,0,-2,REST
1763756275.4944324,-2,-3,-3,-3,-2,-3,1,-3,REST
1763756275.5183418,0,1,0,-1,1,-1,-1,1,REST
1763756275.5311453,0,-1,1,2,-9,0,0,-1,REST
1763756275.5394607,2,-2,-1,0,0,-3,-1,-1,REST
1763756275.5546649,-4,-3,2,-3,-5,4,-4,-2,REST
1763756275.5768168,0,1,-5,1,4,-5,0,0,REST
1763756275.591168,0,-2,-1,-1,-2,-4,-1,0,REST
1763756275.6068196,-2,-4,0,-1,-1,2,-1,-3,REST
1763756275.6143632,0,1,-2,-1,-1,0,0,-2,REST
1763756275.636797,1,-3,0,-1,-5,0,-4,-1,REST
1763756275.6512022,-4,-3,2,-2,-5,0,-1,-3,REST
1763756275.6593864,0,0,-1,0,1,0,-1,-2,REST
1763756275.6748576,0,4,-3,-2,5,-2,0,1,REST
1763756275.697313,-2,-2,1,1,1,0,-1,0,REST
1763756275.7111664,-1,0,-2,-1,2,-6,0,-2,REST
1763756275.7193716,-1,2,-3,-1,2,-3,-2,-2,REST
1763756275.7343576,-2,-3,-1,0,-6,2,-2,0,REST
1763756275.7566812,-2,-1,0,-1,-4,-1,-4,-3,REST
1763756275.7649074,0,-2,1,-1,1,-3,-2,1,REST
1763756275.78016,2,0,-5,-2,3,-6,2,-1,REST
1763756275.7947805,-2,0,0,1,2,0,-1,0,REST
