Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,State
1763987545.3342617,0,-1,-1,-2,0,0,-3,-1,REST
1763987545.341006,-1,1,0,-1,1,-1,-1,0,REST
1763987545.348448,-1,-1,-3,0,-2,-2,1,-3,REST
1763987545.3574383,0,-1,0,-3,-1,2,1,-3,REST
1763987545.3720784,-3,1,0,2,1,2,-3,-2,REST
1763987545.3783693,-1,-2,1,-1,-3,2,-1,-2,REST
1763987545.394103,3,1,-3,0,2,-3,1,2,REST
1763987545.4009483,-1,-1,-2,0,-2,-1,-4,-1,REST
1763987545.4178731,0,1,-2,-1,-2,1,2,-3,REST
1763987545.439923,-5,-5,0,-1,-1,-1,0,-1,REST
1763987545.4624107,1,-1,0,-3,0,-1,-5,-4,REST
1763987545.4772708,-2,0,-1,0,1,0,1,1,REST
1763987545.4916687,-3,-2,1,-2,-3,0,-2,-1,REST
1763987545.4985235,-1,2,0,1,1,4,-2,-4,REST
1763987545.5223937,0,-2,0,1,-1,-2,2,-5,REST
1763987545.544869,1,-3,-2,0,0,-2,-3,1,REST
1763987545.5599031,1,0,-1,-1,-2,-1,-2,-1,REST
1763987545.575661,-1,-1,0,-1,-4,3,0,-1,REST
1763987545.5809112,-1,-4,-2,-2,2,-2,-1,0,REST
1763987545.597306,-3,-2,-2,2,0,0,-1,1,REST
1763987545.6116168,-2,-1,0,-2,-1,-5,1,-2,REST
1763987545.6185148,1,1,-1,-1,2,-3,-4,-2,REST
1763987545.6341906,1,-3,1,-3,-3,-1,-1,-1,REST
1763987545.640989,-5,-1,2,-1,-1,0,2,0,REST
1763987545.6574085,-1,-2,-2,0,0,-2,3,-1,REST
1763987545.6716385,3,-1,0,1,-1,1,-4,-1,REST
1763987545.678438,0,-2,-1,0,1,-1,-4,-1,REST
1763987545.6942036,0,2,-2,-2,-1,0,-4,-3,REST
1763987545.7009244,-4,1,1,-2,-1,-3,1,-1,REST
1763987545.7172382,1,1,-3,-2,0,2,2,1,REST
1763987545.732032,-2,0,-1,-1,-1,-1,0,-2,REST
1763987545.7383847,-2,-4,-1,0,-1,0,-1,-1,REST
1763987545.7541742,-2,0,0,-2,-2,1,-1,-2,REST
1763987545.7610407,1,2,-2,-1,-2,-1,-4,-1,REST
1763987545.7774026,0,-3,-2,-1,1,-1,-1,0,REST
1763987545.7998478,-3,-2,0,-2,-4,-3,-1,0,REST
1763987545.8141673,-2,-2,-1,-2,-1,-1,0,-3,REST
1763987545.8210135,-3,0,3,2,-1,1,0,-3,REST
1763987545.837825,-4,0,-2,-1,0,-2,2,-1,REST
1763987545.851766,1,0,-1,-2,0,-5,0,-1,REST
1763987545.858492,0,0,0,-3,1,-2,2,0,REST
1763987545.874292,1,0,-1,-1,1,3,-2,1,REST
1763987545.8811066,0,-4,-1,-2,-3,1,-1,-5,REST
1763987545.8966775,-2,1,-4,0,0,0,-1,2,REST
1763987545.9050603,-3,-1,0,-1,0,0,2,1,REST
1763987545.9117708,2,-2,0,-1,-3,-3,-3,-2,REST
1763987545.9185026,0,-1,-2,-1,-1,-1,-2,-2,REST
1763987545.934268,-1,0,-1,-2,-3,-2,0,-1,REST
1763987545.9484878,0,-2,-2,-1,-1,-2,0,-4,REST
1763987545.9574292,-3,-4,0,0,-1,-2,-1,2,REST
1763987545.9717922,0,-1,-2,-2,-2,0,-1,1,REST
1763987545.9784708,-3,0,-2,-2,0,-2,-2,0,REST
1763987545.994209,1,-3,0,1,-1,-2,-3,-1,REST
1763987546.008533,-1,1,0,1,0,3,0,2,REST
1763987546.0173225,-1,1,-3,1,-3,-2,0,0,REST
1763987546.0310383,1,-2,-1,-2,1,5,0,0,REST
1763987546.0400772,-2,-3,0,-4,-2,0,1,-1,REST
1763987546.0542111,1,0,0,-2,-1,-1,0,1,REST
1763987546.060927,-1,1,-1,-2,-2,0,1,1,REST
1763987546.0773098,-4,0,0,-2,-1,0,-3,-2,REST
1763987546.091071,1,0,-1,0,-2,-3,-1,-2,REST
1763987546.1000328,-5,4,0,0,0,-2,2,0,REST
1763987546.1142418,-1,-3,-1,0,0,-1,0,-2,REST
1763987546.1210995,2,-3,-1,-3,-3,-3,1,-1,REST
1763987546.144768,-1,-1,0,-1,0,-1,1,0,REST
1763987546.150936,-1,-3,1,-2,-1,1,-3,0,REST
1763987546.1601024,1,0,-3,-1,-3,0,-3,1,REST
1763987546.1739671,1,-2,-1,-1,0,-1,-1,0,REST
1763987546.1900475,-2,-1,-1,-2,-2,-1,-3,-2,REST
1763987546.1972716,-1,2,-1,-3,0,2,-2,-6,REST
1763987546.2108126,-2,0,-1,0,0,-1,-2,-3,REST
1763987546.220043,-1,-3,-3,-1,-1,-1,2,2,REST
1763987546.2342749,0,0,-2,0,1,-1,-1,-1,REST
1763987546.24101,-1,-1,0,-2,-3,-3,-2,-1,REST
1763987546.2571032,-2,0,-1,-1,-4,0,-2,0,REST
1763987546.2650313,0,0,-1,0,-1,-1,-1,-2,REST
1763987546.2710123,-1,-2,-1,0,1,-2,0,0,REST
1763987546.2859573,-1,-3,-1,-2,-1,-1,-1,-1,REST
1763987546.2941835,0,-3,-1,-1,-2,-1,-2,-3,REST
1763987546.3009462,1,-2,1,0,-3,0,-4,1,REST
1763987546.3166294,-3,1,0,-1,-2,0,-1,-2,REST
1763987546.323473,-2,-1,-1,-1,0,-2,1,-2,REST
1763987546.3311243,1,-3,1,-1,-2,-2,3,0,REST
1763987546.3459747,2,1,-1,1,-1,2,-1,-4,REST
1763987546.354264,-3,-2,0,-1,-2,0,-2,-1,REST
1763987546.360859,-4,-2,-2,2,2,0,-3,-2,REST
1763987546.3767562,2,1,0,-2,-2,-5,0,2,REST
1763987546.3833752,1,0,0,-2,-3,0,-2,-3,REST
1763987546.390895,-3,-3,-1,1,2,2,-1,-1,REST
1763987546.4000547,-3,-2,-2,0,2,-2,-2,1,REST
1763987546.4142547,0,-3,-1,-2,0,-4,-1,-1,REST
1763987546.4209733,1,-1,-1,-2,0,-2,-2,2,REST
1763987546.4372053,-2,-1,0,0,1,-1,-1,-1,REST
1763987546.4434462,1,1,-1,-2,-3,-2,0,-2,REST
1763987546.459848,-1,0,-1,-1,-2,-2,-1,-2,REST
1763987546.4742503,0,-2,-2,2,-3,1,0,-5,REST
1763987546.481052,-1,0,-1,0,1,1,-1,2,REST
1763987546.4966812,1,1,-2,0,3,-3,0,1,REST
1763987546.5035384,-1,-2,1,-1,0,1,3,-1,REST
1763987546.5199258,-2,2,0,-3,-1,2,-2,-2,REST
1763987546.5341215,-2,-1,-3,-4,-7,-1,-2,-2,REST
1763987546.541091,-3,-2,0,-3,-2,0,-2,-2,REST
1763987546.556747,0,-2,-1,0,3,-2,0,0,REST
1763987546.56356,-2,0,0,-1,2,-1,-1,-2,REST
1763987546.5810313,-1,-2,-2,-1,-1,1,-2,1,REST
1763987546.5861022,3,-1,-3,-3,-2,-2,0,-4,REST
1763987546.5942857,-2,-3,0,-1,0,-5,0,1,REST
1763987546.6010282,0,-2,-1,-1,-3,1,0,1,REST
1763987546.6167145,0,-1,-2,0,-2,-2,1,0,REST
1763987546.6236293,-3,1,-2,-2,-4,-1,0,-1,REST
1763987546.639936,-3,1,-1,-3,0,3,-1,-1,REST
1763987546.6542754,-1,0,-1,-2,-1,-1,-3,-2,REST
1763987546.6609817,-3,1,-2,-2,-1,0,-3,1,REST
1763987546.6769636,-1,-1,0,0,-1,3,1,-1,REST
1763987546.6835415,-1,-2,1,-1,-3,0,-4,-1,REST
1763987546.699741,-1,1,-2,0,-3,-3,-2,2,REST
1763987546.7140367,0,-2,-1,-2,0,-1,1,-5,REST
1763987546.7208364,-1,1,0,2,1,0,2,-2,REST
1763987546.7369852,1,1,0,-1,-3,-1,-2,-1,REST
1763987546.7448623,2,-1,-1,-2,0,-3,1,-4,REST
1763987546.7598438,0,-3,0,-2,-1,-2,-1,0,REST
1763987546.7740703,-3,-1,-2,-1,2,-3,0,-2,REST
1763987546.7810068,-1,-1,0,-1,-2,-1,-1,-2,REST
1763987546.797039,-3,0,-4,-1,1,1,0,0,REST
1763987546.8050187,0,0,-1,-2,-2,-3,1,0,REST
1763987546.8197753,2,-3,0,-1,-1,0,0,-1,REST
1763987546.8422832,1,-2,0,-1,-1,-1,-1,-1,REST
1763987546.8564372,0,-2,1,0,-4,-1,-1,0,REST
1763987546.8649359,0,-1,0,1,0,-3,-2,-4,REST
1763987546.887352,0,-1,-1,0,-1,-2,0,3,REST
1763987546.8934455,-1,1,-1,-2,-3,2,-4,-3,REST
1763987546.902373,-2,-2,-1,-2,-1,0,2,1,REST
1763987546.9165668,-2,0,-2,-1,-1,0,-3,-1,REST
1763987546.9233768,4,0,-3,-1,-2,-3,-1,1,REST
1763987546.947359,-2,1,1,-1,2,0,-1,-1,REST
1763987546.9537282,-1,-1,-2,0,0,-3,3,-1,REST
1763987546.9629042,-2,-3,-2,-3,-2,0,-3,-1,REST
1763987546.9767056,-2,1,0,-2,-1,0,-1,2,REST
1763987546.9911158,-1,-1,-2,0,0,-3,0,-3,REST
1763987546.9999475,-1,0,-3,0,-1,0,-1,0,REST
1763987547.0136292,0,-3,1,-1,-1,-3,2,-3,REST
1763987547.02259,0,-5,-3,-1,0,1,-3,-4,REST
1763987547.036758,0,-1,0,1,-3,0,-3,-1,REST
1763987547.0434666,-1,0,-1,-1,-1,-2,1,0,REST
1763987547.059856,-2,0,-2,-1,-1,0,-1,-1,REST
1763987547.0734766,0,-2,0,0,2,0,1,-5,REST
1763987547.082503,-2,1,1,-3,-2,-1,1,-2,REST
1763987547.1048868,2,-4,-2,0,-2,-2,-3,-1,REST
1763987547.1198988,1,-1,-3,-1,1,-1,-3,-1,REST
1763987547.133396,-2,1,0,-1,0,-1,0,-1,REST
1763987547.1423805,2,3,-2,-2,-1,-2,1,-5,REST
1763987547.156675,-2,0,-1,0,-2,-1,-4,-2,REST
1763987547.1634448,-4,0,0,-4,-1,-3,1,2,REST
1763987547.178996,0,-1,0,-2,-2,-1,-4,2,REST
1763987547.1874266,0,-1,-2,1,-6,-1,-1,0,REST
1763987547.193532,-2,-3,-1,0,-1,-1,-1,3,REST
1763987547.2100794,-1,-2,0,-2,2,-1,-2,2,REST
1763987547.2166877,0,-2,-2,0,-1,-2,-1,-2,REST
1763987547.2234166,0,0,1,-3,-1,4,0,-3,REST
1763987547.239182,-1,1,-1,-2,2,2,2,0,REST
1763987547.245999,0,-4,-3,3,1,-1,-1,0,REST
1763987547.2535932,-2,-1,-2,0,0,-1,2,-2,REST
1763987547.2623875,-1,-1,-2,-1,-1,-3,-1,-1,REST
1763987547.2766643,0,0,0,2,-2,-2,-3,2,REST
1763987547.2835853,0,-1,-2,-1,-1,0,-2,1,REST
1763987547.2992716,1,1,1,-1,-4,-4,0,-3,REST
1763987547.3059242,-2,-1,-2,0,-2,-4,-4,-1,REST
1763987547.313503,1,-3,-1,-2,-1,3,0,-1,REST
1763987547.322418,0,0,-3,-2,1,-2,0,-3,REST
1763987547.3366838,2,-1,0,-2,-3,-1,2,-2,REST
1763987547.3435216,-3,-1,0,0,-1,-2,-2,-2,REST
1763987547.359349,1,0,-3,-1,0,2,-3,-1,REST
1763987547.3659832,-2,-3,1,3,1,0,1,0,REST
1763987547.382374,-5,0,-1,1,-2,2,1,-1,REST
1763987547.3966787,-2,-2,-2,-2,0,-1,-2,-1,REST
1763987547.4034874,2,0,0,-1,0,0,-2,-2,REST
1763987547.4191816,-2,0,1,-3,1,-1,0,1,REST
1763987547.4259043,1,2,-2,-1,-2,-1,2,1,REST
1763987547.4422746,-3,-1,-3,-1,-1,-1,1,1,REST
1763987547.464827,-4,-2,-1,0,-3,-1,0,-2,REST
1763987547.4872904,0,-1,-3,-1,1,-2,-5,-2,REST
1763987547.502372,2,-3,-2,-2,-1,-2,1,-1,REST
1763987547.51668,2,1,-1,-1,-1,-1,-2,-1,REST
1763987547.5235765,-3,-1,-1,-1,1,-1,-1,0,REST
1763987547.539392,2,2,1,0,-2,-4,1,-1,REST
1763987547.5459328,-2,-1,-1,-2,-3,-1,-4,0,REST
1763987547.5699532,-2,-2,0,0,-1,0,1,1,REST
1763987547.576662,0,-1,0,-1,1,-3,1,0,REST
1763987547.6007712,2,-1,-1,0,9,3,1,-2,REST
1763987547.6060429,-3,-1,-3,0,-4,-3,-1,0,REST
1763987547.6224813,2,0,-1,0,-2,0,-4,-1,REST
1763987547.6367228,-5,-2,0,0,-5,3,0,-1,REST
1763987547.643542,0,1,-1,-1,-1,-1,-6,0,REST
1763987547.659277,0,-1,-1,-1,-1,-1,1,-1,REST
1763987547.66588,-1,-1,0,-2,-4,0,1,1,REST
1763987547.6823256,-4,0,-1,-2,-2,-2,-4,-2,REST
1763987547.6966486,-3,-3,-1,-1,1,-2,-2,2,REST
1763987547.703427,-1,0,-2,-1,1,-2,0,0,REST
1763987547.719147,0,1,1,2,1,1,-1,-2,REST
1763987547.7260118,0,-1,-1,-2,0,-3,-1,-4,REST
1763987547.742338,1,0,-2,-1,-5,1,2,-4,REST
1763987547.7567282,-1,-1,2,-2,2,2,-3,0,REST
1763987547.7634442,2,-1,-4,-2,-3,-2,0,-1,REST
1763987547.7873511,1,-2,-1,0,-1,-3,0,0,REST
1763987547.8023436,-3,-2,-1,1,-3,-2,-2,-3,REST
1763987547.8167925,-1,-3,1,-2,-2,2,2,-1,REST
1763987547.830982,-2,-2,0,0,-2,-2,-3,0,REST
1763987547.8473508,-1,-2,1,-1,-3,-2,-4,-1,REST
1763987547.8635435,0,0,-3,1,1,-1,1,1,REST
1763987547.876081,2,2,-2,-3,1,0,1,-2,REST
1763987547.884882,-2,-1,-1,-2,0,-2,-1,-3,REST
1763987547.899296,-3,-1,-2,0,0,-5,-2,2,REST
1763987547.90603,-3,-3,-1,-2,0,-2,-2,-2,REST
1763987547.9223661,1,-2,-3,-3,-1,-2,-2,0,REST
1763987547.9449193,-5,1,-2,1,2,1,1,0,REST
1763987547.959278,2,0,1,-1,-1,1,2,-1,REST
1763987547.9660678,-4,-3,-2,1,-3,-2,-1,-3,REST
1763987547.9824865,-1,-5,-1,0,0,0,0,-2,REST
1763987547.9960191,-1,0,0,-2,-1,-1,1,2,REST
1763987548.0050867,0,-2,0,1,3,1,-3,1,REST
1763987548.0192442,-2,2,-1,-1,-3,-2,-1,-2,REST
1763987548.0261152,0,-3,1,-1,0,2,1,-7,REST
1763987548.0423994,1,-1,-3,1,0,0,-2,0,REST
1763987548.0559673,1,-2,1,-3,-4,-1,-1,0,REST
1763987548.0650926,-1,-1,-2,0,-1,0,-1,-1,REST
1763987548.087434,0,0,-3,0,3,-1,-1,-2,REST
1763987548.1024241,1,-4,-1,0,-1,-1,0,-1,REST
1763987548.1254687,-1,0,-1,-1,-2,0,-1,-1,REST
1763987548.1392548,-2,-1,-1,-2,-4,-1,-1,-1,REST
1763987548.1460297,0,-1,-1,-2,-2,-1,-2,-1,REST
1763987548.1617205,-2,-4,-2,0,2,2,2,-4,REST
1763987548.168547,-1,-3,-2,-1,-3,-4,4,-1,REST
1763987548.176026,-1,0,-1,-2,-1,-2,0,1,REST
1763987548.1850753,-3,-2,-2,0,1,1,0,2,REST
1763987548.19929,-1,-1,1,-2,-1,-3,-5,0,REST
1763987548.2058778,-1,-1,-1,-1,0,-1,-5,-4,REST
1763987548.2216837,-1,-4,-1,-2,-2,1,-2,-1,REST
1763987548.228523,-2,-1,-3,1,-1,0,0,0,REST
1763987548.2456405,0,0,0,-1,-2,1,-1,0,REST
1763987548.2591586,0,3,-2,-3,0,-4,1,0,REST
1763987548.265947,1,2,0,0,-1,0,-3,1,REST
1763987548.2818112,-4,-1,-1,0,-2,-1,1,-2,REST
1763987548.2885919,0,0,-1,-3,0,-1,-1,-2,REST
1763987548.2960303,-1,1,-1,-2,-3,-2,1,-2,REST
1763987548.3050895,-2,-1,1,-1,-3,-5,0,-1,REST
1763987548.3193355,-1,-1,-1,0,-2,-1,-2,0,REST
1763987548.3261104,1,-1,-2,0,-1,2,-4,-2,REST
1763987548.3418186,-1,-4,0,0,-5,0,-4,-1,REST
1763987548.3484976,-2,-3,0,-2,0,2,-2,-3,REST
1763987548.364963,1,-2,0,-1,3,-2,-2,1,REST
1763987548.3790822,-1,1,-3,-1,-1,1,0,-1,REST
1763987548.3860316,1,-1,-1,-1,0,0,0,-3,POWER
1763987548.4016175,-2,-1,-2,-2,-1,-1,-1,-5,POWER
1763987548.408552,0,-1,1,-2,-2,-1,0,0,POWER
1763987548.4248254,-1,2,-1,4,2,1,0,1,POWER
1763987548.43923,-3,0,2,-1,-2,0,-2,0,POWER
1763987548.4459918,1,0,1,1,-1,0,0,-4,POWER
1763987548.461793,1,-2,-3,0,2,-1,-1,-1,POWER
1763987548.4689395,-1,2,0,-3,-2,-2,0,5,POWER
1763987548.4851096,-1,-4,-1,0,-1,-1,-1,-2,POWER
1763987548.5077202,-1,3,0,-1,1,-3,-1,3,POWER
1763987548.5222447,-1,-3,0,-1,-2,-1,-1,-2,POWER
1763987548.5290442,0,-1,0,-2,-1,1,1,-1,POWER
1763987548.5454528,-2,1,-3,-1,-1,-2,0,-3,POWER
1763987548.559908,-1,-3,-2,-1,1,-2,0,-1,POWER
1763987548.566546,-2,-1,-1,-1,-2,-4,1,2,POWER
1763987548.5821898,-1,-1,1,-1,-2,1,-3,-3,POWER
1763987548.589602,0,-1,-2,0,0,-3,-2,-1,POWER
1763987548.604992,-2,-2,-1,1,0,0,-1,-1,POWER
1763987548.6198688,-2,-2,-1,-1,-2,2,-3,1,POWER
1763987548.6266763,-1,0,-2,0,-2,-2,-2,0,POWER
1763987548.6417692,-2,-1,0,-2,-1,-1,2,-3,POWER
1763987548.6560333,-1,-2,0,0,-1,0,-1,-4,POWER
1763987548.6721458,3,0,0,-3,-1,2,0,0,POWER
1763987548.6802912,-2,-2,1,-3,1,-1,-4,1,POWER
1763987548.6859868,3,1,-1,-1,-1,-3,0,0,POWER
1763987548.7022789,2,-1,0,-2,-1,-5,0,1,POWER
1763987548.709045,-2,1,-2,-1,-1,3,1,-1,POWER
1763987548.7254238,1,1,-4,0,-5,-3,0,-2,POWER
1763987548.7397323,-2,0,-3,-2,0,1,-5,-4,POWER
1763987548.7466314,-2,-1,-3,-1,0,1,2,0,POWER
1763987548.762292,-1,-1,1,-1,0,-2,1,1,POWER
1763987548.7687824,-1,-3,-2,1,-4,1,-1,-1,POWER
1763987548.7854486,1,-1,-2,-2,-3,-1,1,0,POWER
1763987548.7994294,0,-5,0,0,-3,2,-1,0,POWER
1763987548.8066978,-1,2,-2,-1,-3,-3,0,0,POWER
1763987548.822193,1,-3,2,0,-1,-2,0,-3,POWER
1763987548.8290017,-1,-4,9,-1,2,-1,-2,1,POWER
1763987548.8453586,-1,-6,-13,-10,-5,-4,-2,-2,POWER
1763987548.8590395,-3,-1,8,9,-9,-1,-2,0,POWER
1763987548.8678539,1,-6,-7,-5,-4,-3,0,-2,POWER
1763987548.8903491,-2,2,-2,-2,2,-1,2,1,POWER
1763987548.9043329,-3,-5,-27,-14,9,-1,1,-1,POWER
1763987548.9128304,1,9,0,16,29,-2,0,-4,POWER
1763987548.9189,-8,-6,-10,-15,-3,0,-4,-2,POWER
1763987548.927875,-11,-12,5,9,-5,-2,-4,-3,POWER
1763987548.941802,14,5,34,6,1,0,3,1,POWER
1763987548.9485161,-2,-5,-41,-23,-14,-4,0,2,POWER
1763987548.9649403,0,-3,9,12,-4,-1,-4,-1,POWER
1763987548.978576,1,-4,8,-3,2,-1,4,5,POWER
1763987548.9875796,-2,-1,0,-3,-5,-2,-3,-3,POWER
1763987549.001743,-1,-4,-21,-4,-7,-1,0,2,POWER
1763987549.0085952,4,1,24,-3,-10,-4,2,1,POWER
1763987549.0248952,-2,0,11,4,3,-4,-1,-5,POWER
1763987549.038569,-7,-2,-16,-9,-5,-1,-2,-1,POWER
1763987549.0475407,-1,0,-4,-8,-4,-1,5,-2,POWER
1763987549.0618198,-1,2,-13,-6,0,0,-3,-5,POWER
1763987549.0692344,-1,-2,1,1,13,3,12,2,POWER
1763987549.0924485,-1,3,1,-8,-24,0,-2,-3,POWER
1763987549.0986254,-1,2,5,7,-1,4,-3,2,POWER
1763987549.1075716,-5,-3,0,-9,-12,-3,-3,-1,POWER
1763987549.1299303,-2,5,2,8,12,1,7,-1,POWER
