Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8
1762970687.7115757,34,135,182,116,416,141,52,24
1762970687.7340987,36,134,205,119,380,135,44,23
1762970687.779723,42,164,301,165,400,107,33,25
1762970687.8090506,41,159,300,172,414,108,34,27
1762970687.831622,38,164,308,176,408,101,30,25
1762970687.8622267,35,138,196,157,417,85,29,23
1762970687.8915472,36,130,194,148,421,109,36,24
1762970687.9140475,46,152,264,176,427,109,36,26
1762970687.9515505,57,195,352,214,474,116,40,34
1762970687.9740696,65,218,363,219,460,109,41,38
1762970688.011533,61,192,328,173,513,123,45,37
1762970688.034033,57,196,292,155,484,123,46,36
1762970688.071555,40,168,253,145,504,110,42,31
1762970688.0941179,33,172,256,146,507,77,37,31
1762970688.1315207,33,169,235,140,432,65,38,29
1762970688.1540241,43,155,219,123,425,65,41,31
1762970688.1767995,43,154,245,134,462,65,43,30
1762970688.2140882,55,167,238,162,492,66,41,33
1762970688.2515252,51,177,263,159,512,71,37,32
1762970688.2740347,51,172,260,146,459,67,35,31
1762970688.3116298,44,204,284,122,431,60,33,24
1762970688.334045,45,230,278,111,366,55,34,24
1762970688.3715343,43,226,232,107,441,53,40,29
1762970688.394198,44,238,260,113,430,54,43,34
1762970688.4314952,46,216,266,189,449,52,48,38
1762970688.4540634,41,191,261,189,389,54,42,34
1762970688.49151,60,141,237,198,460,54,37,27
1762970688.5140133,84,217,260,148,445,55,38,28
1762970688.551514,90,211,258,150,491,57,38,30
1762970688.5740411,87,217,274,165,500,61,39,29
1762970688.5965347,79,222,242,169,522,65,33,30
1762970688.6340294,46,147,197,197,626,67,33,28
1762970688.6565695,47,150,176,203,654,81,33,27
1762970688.6940663,39,114,144,216,687,121,38,26
1762970688.7165577,44,130,169,195,613,122,41,31
1762970688.7540543,39,109,163,186,597,116,40,28
1762970688.7766285,39,106,158,151,498,72,37,28
1762970688.8139908,30,58,95,131,543,63,36,18
1762970688.8365493,30,58,80,123,476,51,31,18
1762970688.8740315,29,47,58,110,443,61,33,22
1762970688.8965507,30,43,51,111,346,74,34,23
1762970688.934058,30,36,54,108,346,81,35,22
1762970688.9565532,28,37,57,114,378,110,34,21
1762970688.9940734,25,38,60,110,380,103,33,18
1762970689.0164993,25,39,65,111,384,101,28,19
1762970689.0540648,26,41,65,155,340,84,27,23
1762970689.076561,25,35,62,152,332,76,26,23
1762970689.11553,24,34,58,161,360,78,25,25
1762970689.1365511,24,37,61,133,331,63,28,23
1762970689.1740727,26,36,54,133,410,69,31,22
1762970689.1965752,26,33,44,116,408,67,32,23
1762970689.2340176,24,30,40,136,496,64,28,22
1762970689.2565258,25,32,46,145,532,74,29,22
1762970689.2940078,22,30,47,143,480,67,27,20
1762970689.3164713,22,29,46,136,489,65,26,19
1762970689.3540237,22,28,43,115,434,47,37,19
1762970689.3767729,22,28,40,99,401,38,38,20
1762970689.414642,21,30,39,89,366,38,38,21
1762970689.4365604,21,30,38,86,323,42,39,23
1762970689.4740667,19,29,38,108,406,53,39,22
1762970689.496555,23,31,42,123,444,52,41,23
1762970689.5340414,24,27,38,116,409,51,42,22
1762970689.556525,28,29,42,113,406,41,43,25
1762970689.579079,28,28,39,111,412,45,41,25
1762970689.616521,25,26,35,86,364,44,37,25
1762970689.6389754,25,26,35,97,450,49,37,25
1762970689.6765149,22,25,35,79,424,51,31,22
1762970689.6989765,21,24,34,84,439,58,48,26
1762970689.7365398,22,25,35,78,386,52,54,27
1762970689.7590582,20,26,34,76,364,53,52,28
1762970689.7965508,21,27,31,83,389,71,47,27
1762970689.8190465,20,26,30,71,325,70,45,25
1762970689.8565254,23,24,28,80,410,120,79,41
1762970689.8790464,25,25,27,77,359,162,90,46
1762970689.9164734,26,25,29,85,409,254,93,48
1762970689.939036,27,28,28,89,434,250,91,41
1762970689.9764614,26,26,29,85,439,241,92,46
1762970689.9990237,28,27,28,89,525,213,95,50
1762970690.0365248,23,25,32,70,514,165,84,48
1762970690.0589895,23,27,37,87,561,186,88,49
1762970690.096513,23,32,38,87,469,148,60,33
1762970690.127284,24,37,48,94,399,143,60,33
1762970690.1564767,26,54,70,84,354,129,49,31
1762970690.179011,26,54,76,99,370,122,70,43
1762970690.2165139,30,85,113,112,481,117,78,44
1762970690.2390237,30,88,106,117,494,115,80,45
1762970690.2766185,34,141,131,124,500,68,53,31
1762970690.298998,36,170,230,126,492,65,60,34
1762970690.3366082,41,230,250,139,263,71,69,38
1762970690.359072,44,231,267,136,225,67,70,41
1762970690.3965251,46,241,289,143,343,75,75,50
1762970690.427244,42,218,290,118,377,79,69,52
1762970690.4564443,58,261,334,161,450,77,67,53
1762970690.479067,73,293,339,205,565,84,63,51
1762970690.5015554,93,312,421,291,557,85,55,50
1762970690.5390267,105,344,430,318,548,89,47,46
1762970690.5622237,97,313,421,307,573,92,46,45
1762970690.5990236,61,228,293,191,448,106,65,44
1762970690.6221719,47,200,245,171,541,119,68,42
1762970690.6590455,47,192,217,170,578,142,72,40
1762970690.681528,52,207,203,180,600,154,72,40
1762970690.7190287,61,209,242,190,489,139,50,32
1762970690.7415092,62,201,255,189,452,151,49,33
1762970690.7790344,67,278,278,152,401,149,62,42
1762970690.8014982,62,270,244,128,371,152,69,49
1762970690.8390224,65,251,199,102,490,141,70,50
1762970690.8615568,58,212,176,111,479,126,60,46
1762970690.8990571,62,187,193,143,560,152,55,29
1762970690.929818,62,180,216,143,474,144,50,28
1762970690.9589863,65,205,217,133,661,132,46,25
1762970690.981494,62,203,208,131,618,114,45,29
1762970691.0190303,71,227,140,117,671,115,41,29
1762970691.0414913,76,213,147,240,607,111,42,30
1762970691.0872204,76,207,150,246,587,116,45,27
1762970691.1165211,70,165,162,270,679,121,47,28
1762970691.1390245,61,146,143,177,663,128,47,29
1762970691.1629953,63,134,137,170,654,121,45,29
1762970691.2071912,64,118,142,158,672,105,33,28
1762970691.2365172,51,81,146,134,588,85,31,29
1762970691.2589853,40,77,141,165,693,94,31,28
1762970691.2814646,33,58,130,185,567,101,38,27
1762970691.318987,33,51,90,170,689,99,37,26
1762970691.3415031,30,44,88,174,775,98,38,27
1762970691.3789995,26,36,76,110,693,85,35,28
1762970691.4014947,25,35,74,110,626,78,35,27
1762970691.4247115,24,33,70,105,585,74,35,26
1762970691.4697075,24,30,76,141,540,75,35,25
1762970691.4989817,24,27,63,156,838,108,34,26
1762970691.5215282,26,28,60,159,842,109,36,29
1762970691.5447633,24,29,59,145,841,108,33,29
1762970691.5815527,25,30,49,147,691,97,33,28
1762970691.6046603,26,31,47,172,700,123,37,28
1762970691.6415577,22,27,46,175,692,144,40,22
1762970691.664417,26,27,47,181,715,174,41,21
1762970691.7015185,26,32,70,133,578,151,36,22
1762970691.7246678,25,31,70,144,606,145,32,24
1762970691.7614994,26,35,69,143,667,195,45,29
1762970691.7846687,26,31,54,145,637,204,46,28
1762970691.8214834,27,32,50,140,494,228,48,27
1762970691.844671,27,31,50,169,542,188,45,24
1762970691.8814929,27,30,47,157,500,199,42,22
1762970691.9046876,27,32,46,178,516,194,40,22
1762970691.949675,25,32,49,193,564,198,39,24
1762970691.9790137,28,32,63,253,583,252,41,26
1762970692.001606,31,34,63,240,563,255,42,27
1762970692.024667,31,34,59,230,573,265,44,29
1762970692.0614965,37,39,58,235,500,299,52,34
1762970692.084686,36,40,49,225,620,287,57,35
1762970692.1214964,36,40,49,257,687,306,57,35
1762970692.1446443,34,36,48,260,718,311,59,34
1762970692.1896827,37,39,50,227,719,457,90,69
1762970692.2189908,42,38,50,167,631,459,143,143
1762970692.2415137,44,40,51,169,700,470,192,153
1762970692.2646704,42,35,48,170,660,418,192,155
1762970692.301482,39,30,42,181,685,251,171,119
1762970692.3246555,32,30,42,174,689,249,151,72
1762970692.3696935,47,56,55,115,476,192,74,42
1762970692.407159,50,69,65,79,388,155,70,35
1762970692.4440863,110,120,91,78,388,241,95,49
1762970692.4672117,146,302,93,77,341,239,102,54
1762970692.503997,158,334,99,200,505,290,107,53
1762970692.5271904,161,342,93,219,566,271,107,57
1762970692.5639849,141,288,106,231,645,326,55,35
1762970692.5871391,151,276,116,244,640,327,52,34
1762970692.624051,146,271,133,198,475,310,49,29
1762970692.6471722,125,250,126,269,603,316,50,32
1762970692.6839979,95,145,126,260,574,244,54,33
1762970692.7072053,94,138,128,247,608,218,49,31
1762970692.7439978,113,132,104,153,448,171,50,30
1762970692.7672148,137,124,110,166,396,182,51,32
1762970692.8040035,144,121,130,228,427,163,45,37
1762970692.8272586,143,121,132,218,429,136,41,36
1762970692.8639984,110,102,133,250,504,125,38,36
1762970692.8871984,94,88,111,199,440,101,37,32
1762970692.9239886,79,115,128,218,383,94,38,30
1762970692.9471743,72,119,145,187,307,86,36,28
1762970692.9840345,54,108,163,199,399,82,33,25
1762970693.0071425,64,108,159,205,410,73,30,25
1762970693.044063,78,109,150,203,577,71,28,23
1762970693.06715,81,108,144,193,528,61,27,24
1762970693.1039937,88,85,106,187,532,54,27,22
1762970693.1272204,82,55,91,194,449,62,29,24
1762970693.1640043,83,53,93,189,592,78,37,23
1762970693.1872058,94,61,94,170,591,76,49,25
1762970693.210008,106,67,105,169,554,73,75,35
1762970693.2471383,140,74,106,168,446,49,74,37
1762970693.2840004,137,96,105,162,407,44,68,38
1762970693.3071399,122,93,99,149,451,44,41,29
1762970693.3296626,90,89,97,161,467,45,42,28
1762970693.3671615,65,85,95,196,506,67,39,28
1762970693.3896446,57,63,99,187,518,77,35,24
1762970693.4121966,50,63,109,192,561,101,40,26
1762970693.4496644,47,63,138,235,587,175,43,27
1762970693.4871974,43,68,164,241,516,187,45,32
1762970693.5171735,44,68,158,234,476,185,45,31
1762970693.5471897,40,66,163,218,573,183,43,30
1762970693.5696716,38,65,159,255,563,228,48,32
1762970693.607137,30,50,140,268,725,253,60,32
1762970693.6296208,33,50,132,251,785,241,59,31
1762970693.667129,28,34,88,171,816,226,69,35
1762970693.6896913,31,31,79,129,845,208,69,37
1762970693.7121496,38,38,98,143,764,220,61,38
1762970693.7496603,39,47,121,196,819,235,64,38
1762970693.7946475,42,54,139,225,771,225,74,36
1762970693.8240194,38,50,112,199,667,192,81,37
1762970693.8471527,41,47,93,207,669,188,87,41
1762970693.8696833,39,46,71,195,644,188,80,41
1762970693.907153,36,39,66,193,698,170,77,38
1762970693.9296856,34,38,63,192,649,150,87,38
1762970693.9671426,30,49,60,176,744,207,140,34
1762970693.9896822,38,49,55,170,703,208,142,43
1762970694.027391,51,63,61,187,757,247,136,47
1762970694.0496373,57,70,61,151,653,230,90,50
1762970694.087134,53,66,61,162,653,255,83,43
1762970694.1099591,53,63,61,154,585,275,81,40
1762970694.146469,51,41,50,170,620,230,75,36
1762970694.169702,53,47,48,149,658,218,90,35
1762970694.2064345,60,43,39,134,614,209,96,43
1762970694.229709,66,43,42,134,648,214,91,43
1762970694.2664814,62,37,62,111,509,194,75,44
1762970694.2896867,55,43,64,108,495,167,83,42
1762970694.3121405,64,42,63,95,454,147,84,40
1762970694.3496177,63,41,54,93,368,154,109,42
1762970694.3721557,62,41,40,91,307,188,109,38
1762970694.4171207,54,37,33,94,286,205,122,40
1762970694.4464996,33,31,40,90,217,222,98,34
1762970694.469627,33,29,52,113,330,187,90,34
1762970694.4921536,41,41,72,166,546,178,88,35
1762970694.5294592,41,50,90,224,688,182,61,39
1762970694.5521886,45,61,92,233,719,177,60,38
1762970694.5896437,51,59,89,216,680,173,60,38
1762970694.6121178,51,57,79,185,638,169,57,36
1762970694.6496046,52,52,85,208,569,131,54,34
1762970694.6721418,41,51,91,213,528,162,45,30
1762970694.7099385,50,56,77,187,397,176,50,31
1762970694.73212,52,55,79,172,398,179,53,30
1762970694.7696128,50,57,61,158,426,181,48,29
1762970694.7921438,55,51,60,157,445,143,48,30
1762970694.829639,54,43,61,168,468,178,41,28
1762970694.852111,52,36,49,135,421,166,40,30
1762970694.8896518,33,30,53,140,445,142,25,25
1762970694.912151,30,33,54,148,403,121,24,25
1762970694.949639,25,34,55,145,395,103,25,22
1762970694.9721189,25,32,45,143,339,112,28,22
1762970695.0098908,31,35,48,125,330,87,36,25
1762970695.032143,33,35,48,114,362,97,38,24
1762970695.0696774,31,32,41,104,456,122,38,24
1762970695.0921102,30,30,37,97,463,150,39,24
1762970695.12963,25,24,33,111,459,176,37,21
1762970695.152175,25,24,31,141,563,193,42,23
1762970695.189343,20,25,31,145,543,191,41,23
1762970695.2196293,21,24,32,146,546,191,41,24
1762970695.2496226,23,26,33,104,412,180,33,24
1762970695.272174,25,26,34,94,373,173,32,25
1762970695.2946742,30,27,34,87,431,233,47,32
1762970695.3321147,31,27,34,84,452,267,56,31
1762970695.354645,30,28,36,88,438,268,56,33
1762970695.392136,25,26,30,87,379,211,55,27
1762970695.4146318,25,26,33,111,449,188,49,27
1762970695.4521205,23,25,29,128,656,194,90,44
1762970695.4746392,22,21,28,125,647,182,91,46
1762970695.4971406,21,22,31,131,657,180,90,47
1762970695.5346048,22,25,31,115,556,147,93,50
1762970695.572137,22,25,35,110,558,224,53,32
1762970695.5946481,27,27,36,105,560,228,50,31
1762970695.6171253,29,39,41,88,437,227,46,29
1762970695.6546445,36,76,67,97,516,193,41,29
1762970695.6921349,41,95,109,113,482,156,32,25
1762970695.7146256,46,106,130,119,464,154,31,27
1762970695.7520943,41,88,155,118,258,147,31,28
1762970695.77465,42,86,158,134,236,148,33,29
1762970695.812144,37,75,154,137,249,147,33,26
1762970695.8346303,36,86,149,147,316,145,33,23
1762970695.8571405,46,125,176,152,342,136,34,26
1762970695.894647,46,154,212,170,369,152,28,23
1762970695.932119,58,169,223,179,365,169,33,27
1762970695.9545975,52,152,212,182,394,158,31,25
1762970695.9921348,53,141,229,246,380,129,33,29
1762970696.0146194,43,113,230,275,379,129,33,28
1762970696.0370889,50,132,262,278,383,106,32,28
1762970696.0746362,54,151,306,269,338,98,31,30
1762970696.1121194,60,214,318,204,414,127,31,30
1762970696.1346207,53,205,295,201,429,125,31,30
1762970696.157145,52,205,295,245,452,127,32,29
1762970696.1946235,43,130,188,250,500,118,28,26
1762970696.2170908,47,127,190,261,505,104,31,26
1762970696.2546368,50,150,213,230,509,150,35,29
1762970696.2772183,48,138,212,211,499,151,34,28
1762970696.3146186,39,128,209,212,471,150,32,27
1762970696.3372421,35,109,203,249,552,117,25,26
1762970696.3746471,39,105,206,295,619,106,27,25
1762970696.3971155,45,120,199,303,592,98,27,26
1762970696.4345875,44,118,180,251,506,85,33,27
1762970696.4728048,48,118,188,229,468,134,42,29
1762970696.4946318,48,127,182,215,482,142,44,30
1762970696.5171077,50,125,188,247,471,177,48,30
1762970696.5546384,46,126,162,222,418,152,35,26
1762970696.5772066,47,136,172,231,456,158,36,25
1762970696.6146185,45,107,150,192,473,118,33,28
1762970696.6370885,46,108,142,190,480,114,31,29
1762970696.6746435,40,60,94,138,435,85,39,31
1762970696.6971345,34,57,83,112,395,81,50,29
1762970696.734618,33,58,71,89,401,90,58,30
1762970696.757152,32,52,62,98,402,104,58,29
1762970696.7945898,32,45,47,106,435,112,56,32
1762970696.8171217,26,31,33,105,427,115,61,33
1762970696.854613,29,33,36,91,396,117,58,33
1762970696.8772128,27,33,44,82,375,106,65,33
1762970696.9145927,31,30,46,86,308,99,48,29
1762970696.9372797,30,29,52,88,321,80,49,29
1762970696.9745736,31,33,61,91,345,72,35,26
1762970696.9971616,30,34,60,95,361,75,37,25
1762970697.0345922,33,38,67,113,440,86,35,24
1762970697.0571256,29,30,61,126,426,88,31,25
1762970697.094641,34,31,70,133,398,119,33,27
1762970697.1171455,33,32,70,125,437,123,42,27
1762970697.1396515,31,31,68,153,371,133,42,26
1762970697.1621218,33,32,74,165,419,134,44,25
1762970697.199601,36,40,71,218,536,131,41,25
1762970697.2378259,38,43,71,229,676,125,52,33
1762970697.25989,37,46,72,231,715,125,53,34
1762970697.2971354,33,47,84,189,728,112,54,32
1762970697.3196008,32,46,86,191,684,123,78,29
1762970697.357065,33,45,88,160,600,120,84,35
1762970697.379671,33,44,73,146,556,145,97,42
1762970697.4171119,34,37,66,129,504,134,91,50
1762970697.4395845,28,32,46,128,468,139,88,47
1762970697.477083,29,34,46,135,480,159,77,41
1762970697.499614,28,31,41,117,441,162,67,30
1762970697.537589,26,30,44,84,327,164,49,26
1762970697.5598755,26,32,46,94,418,128,43,27
1762970697.597165,28,46,92,149,629,131,73,44
1762970697.6196234,30,49,102,171,731,179,78,44
1762970697.6571233,31,51,108,180,727,193,109,53
1762970697.6796072,31,44,92,166,676,191,109,53
1762970697.717094,28,36,58,119,456,157,94,44
1762970697.739656,27,35,55,118,457,140,59,37
1762970697.7772257,26,33,46,99,396,135,63,39
1762970697.8152866,29,34,43,110,413,143,59,41
1762970697.8371217,28,33,35,93,355,167,63,36
1762970697.8595946,28,33,38,105,395,191,73,41
1762970697.8970883,32,32,36,95,496,258,83,45
1762970697.919587,35,32,43,90,480,258,154,110
1762970697.957124,40,48,89,140,649,274,208,164
1762970697.9796083,43,68,120,151,640,229,206,164
1762970698.0245764,44,102,179,171,730,218,161,136
1762970698.0621002,41,103,202,167,702,191,76,62
1762970698.0995922,34,90,193,167,630,175,74,59
1762970698.122147,27,77,178,168,578,177,70,54
1762970698.1598818,30,108,199,206,401,157,64,48
1762970698.1820934,36,157,204,207,384,162,64,45
1762970698.2202697,51,182,237,201,286,153,56,30
1762970698.2420943,57,208,251,203,287,144,53,32
1762970698.279593,61,181,291,165,366,163,53,32
1762970698.3020627,62,182,276,186,392,153,36,31
1762970698.339581,54,175,303,219,384,163,43,30
1762970698.3620954,60,183,338,236,334,158,44,31
1762970698.3995998,57,182,320,232,247,164,42,34
1762970698.4296267,63,189,306,230,219,187,56,47
1762970698.4598508,72,183,266,174,228,170,93,54
1762970698.482214,74,182,266,147,222,170,109,60
