Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8
1763057765.272184,32,51,64,86,45,46,79,28
1763057765.294587,34,50,65,90,46,40,64,31
1763057765.339604,31,48,51,84,44,41,74,33
1763057765.3695786,28,45,58,72,46,44,88,30
1763057765.3920896,30,67,72,70,45,45,90,28
1763057765.4145613,31,74,75,76,54,49,97,31
1763057765.4521139,32,77,79,78,54,44,88,30
1763057765.4745848,34,74,70,79,68,48,89,32
1763057765.5121355,28,45,58,101,66,48,81,30
1763057765.536192,27,44,58,103,64,49,74,29
1763057765.5795863,27,42,50,109,47,40,63,31
1763057765.609631,27,62,55,82,50,46,67,31
1763057765.6321301,30,63,67,64,54,43,71,31
1763057765.6546035,30,71,74,52,57,44,68,32
1763057765.677139,32,81,81,50,58,45,68,31
1763057765.7146,32,80,83,44,49,38,77,34
1763057765.7371242,29,82,73,43,45,40,74,35
1763057765.7746284,31,84,63,37,38,45,85,32
1763057765.7971306,32,82,56,47,37,48,92,28
1763057765.8345914,33,85,73,50,40,48,83,29
1763057765.8570962,30,81,73,50,41,51,84,30
1763057765.902792,30,89,87,69,56,53,73,33
1763057765.9320567,28,124,101,67,59,52,92,31
1763057765.9703245,29,122,105,67,59,47,102,31
1763057765.9920542,26,124,109,52,46,44,104,30
1763057766.0146267,28,112,98,54,48,46,102,31
1763057766.0371225,28,105,102,60,42,44,96,32
1763057766.0745764,25,98,99,71,39,51,100,32
1763057766.0970452,27,92,95,73,39,52,103,34
1763057766.1345837,24,82,92,85,34,54,109,32
1763057766.157074,28,85,90,80,33,53,107,30
1763057766.2102776,28,91,85,96,38,49,101,28
1763057766.232102,31,99,73,81,40,59,129,31
1763057766.254617,28,105,72,81,39,58,132,33
1763057766.2786074,27,98,76,73,36,54,126,31
1763057766.3145485,27,99,95,85,37,43,84,30
1763057766.338606,27,102,99,100,35,42,85,33
1763057766.3746083,27,95,97,94,38,54,115,33
1763057766.397128,30,80,79,102,37,51,122,34
1763057766.4278786,28,83,82,106,38,49,120,33
1763057766.4585786,29,96,111,122,35,47,94,34
