Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,State
1763988348.9325395,1,1,-1,0,-2,-2,-1,0,REST
1763988348.9393692,-1,-3,-1,-3,-1,1,0,1,REST
1763988348.9560225,-2,-2,-2,-2,-2,0,-2,-1,REST
1763988348.9799867,-1,-3,-1,-2,-1,-1,-2,-1,REST
1763988348.992327,0,-1,-3,1,0,-2,-1,-3,REST
1763988349.0012171,-2,0,1,-1,0,0,-1,-2,REST
1763988349.0151796,0,-2,-2,-2,-1,-1,-1,0,REST
1763988349.0371947,0,0,0,-2,0,-1,-1,1,REST
1763988349.0604446,-1,1,-1,1,0,-2,-1,-2,REST
1763988349.0748212,0,1,-1,0,-2,-1,1,0,REST
1763988349.097233,0,-2,0,0,-2,-1,-1,-2,REST
1763988349.1279516,-2,-1,0,-2,-1,-2,-3,0,REST
1763988349.1347418,0,0,-2,1,-2,0,-2,-1,REST
1763988349.1645498,1,-1,-1,-3,-3,0,0,0,REST
1763988349.1722603,-1,-1,0,-3,-2,-2,-2,-1,REST
1763988349.180473,-2,-2,-2,-2,0,-2,-1,-2,REST
1763988349.2029223,0,-1,0,0,-1,-1,1,-2,REST
1763988349.217251,-2,-1,-2,-1,-2,-2,-1,-2,REST
1763988349.2396958,-1,-1,-2,-2,-1,-5,0,-2,REST
1763988349.2547576,-3,1,0,-1,0,0,-2,2,REST
1763988349.2772143,-1,-1,-1,-1,-1,1,0,-1,REST
1763988349.299761,-3,-1,0,0,0,2,0,-1,REST
1763988349.3229744,1,0,1,3,0,-4,-1,0,REST
1763988349.3373866,0,0,0,-1,-1,0,-1,-1,REST
1763988349.3681319,-2,-1,-3,0,-1,-1,-3,-1,REST
1763988349.3748407,0,0,-1,1,2,0,-1,-1,REST
1763988349.397372,0,-2,0,-2,-2,-2,-1,-1,REST
1763988349.4198604,-2,-2,-3,-1,-1,-1,-2,1,REST
1763988349.434869,-1,-1,-2,-2,-2,3,0,-1,REST
1763988349.4572625,-1,0,-1,-2,-1,-2,-1,0,REST
1763988349.4881241,-2,-3,-2,-1,-1,-1,-1,-1,REST
1763988349.5029774,0,-2,-2,-2,-1,-1,-1,-1,REST
1763988349.517241,0,-1,0,-4,0,0,-2,-2,REST
1763988349.5479827,0,-1,-2,0,-2,-1,-1,-1,REST
1763988349.554808,-1,-1,-1,-1,0,-1,-1,-2,REST
1763988349.5773356,1,0,0,-2,-3,0,-2,0,REST
1763988349.5997143,0,1,-1,-1,-1,1,1,-1,REST
1763988349.614827,0,-2,-1,-1,0,-3,0,-2,REST
1763988349.6372924,0,-3,1,0,1,0,-2,0,REST
1763988349.6597853,-2,0,-1,-1,-5,-1,-1,-2,REST
1763988349.6747737,-1,0,0,-1,-1,-1,-2,0,REST
1763988349.7218738,-2,-2,-1,-3,0,0,-1,0,REST
1763988349.7273517,-1,-1,-2,-2,-2,-2,-1,2,REST
1763988349.7349532,0,0,-2,-2,-1,0,1,-1,REST
1763988349.757394,-1,0,-2,-2,-1,-2,-2,0,REST
1763988349.7799292,-1,-1,-3,-1,0,-1,-1,-2,REST
1763988349.8031356,-1,1,2,3,2,-1,-3,-2,REST
1763988349.8171868,-1,-1,-1,0,-1,-1,-1,-1,REST
1763988349.8494773,-1,-2,0,-2,-1,-2,-2,-1,REST
1763988349.8547564,0,-2,-1,-2,-2,-2,0,0,REST
1763988349.8770554,3,1,-1,-1,1,-2,1,18,REST
1763988349.8849099,0,1,0,0,-1,-1,-1,0,REST
1763988349.8998578,-1,-1,-1,-2,-1,0,0,-6,REST
1763988349.9244964,-4,-1,-1,-1,-1,-1,-1,-6,REST
1763988349.9372482,1,-1,0,0,-3,0,0,-3,REST
1763988349.9599202,0,-1,-2,2,0,-4,-2,-2,REST
1763988349.974251,-1,1,-1,-2,-3,1,0,-2,REST
1763988349.982408,0,0,-1,0,0,2,-1,0,REST
1763988349.9977398,-1,-3,-1,0,-3,-1,0,-3,REST
1763988350.019811,-1,-1,0,-2,-2,0,-1,-1,REST
1763988350.0362325,-2,0,-1,-2,0,-1,0,-1,REST
1763988350.057203,-2,-1,-2,-1,-1,0,0,0,REST
1763988350.079706,-1,-2,-2,-1,-1,0,-2,-2,REST
1763988350.094856,0,0,-1,-1,0,0,-2,-1,REST
1763988350.117429,-1,-1,-1,0,-1,-1,0,-1,REST
1763988350.1399355,-1,0,0,0,1,0,-2,-2,REST
1763988350.1555557,-1,-1,-1,-2,0,-1,-3,0,REST
1763988350.1622558,0,-1,-1,-2,-3,1,-1,0,REST
1763988350.178248,-2,-1,0,-2,-1,-2,-1,-2,REST
1763988350.1997912,0,0,-1,-2,0,-2,-1,1,REST
1763988350.2141285,-1,-1,-2,-1,0,0,0,-2,REST
1763988350.2223291,0,-1,0,0,-1,-1,-1,-2,REST
1763988350.2382414,0,-2,0,3,1,-1,-1,-2,REST
1763988350.2449064,-1,1,0,-1,-1,-2,-1,-3,REST
1763988350.2762752,-1,-1,1,-2,-2,-2,-1,-1,REST
1763988350.2823606,-1,-1,-2,-1,0,0,0,0,REST
1763988350.2974305,-2,1,0,-3,-1,-1,0,0,REST
1763988350.3198986,-1,-2,-1,-3,-1,-1,-1,1,REST
1763988350.334235,1,-1,0,1,1,-2,-1,-1,REST
1763988350.342239,1,0,0,1,-1,1,-1,-1,REST
1763988350.3573565,-3,-1,-3,-1,-2,-1,-2,1,REST
1763988350.379749,0,0,0,0,1,-1,-1,0,REST
1763988350.3957882,-2,-2,-1,0,-3,-3,-1,-2,REST
1763988350.4023747,-1,-2,-1,-1,-2,-3,-1,-2,REST
1763988350.417362,3,1,-3,-2,-2,-1,-1,-2,REST
1763988350.4396582,-3,-2,-1,2,1,0,-1,-1,REST
1763988350.4628894,-1,0,0,-3,-2,0,0,-2,REST
1763988350.4771893,2,-1,-1,1,1,-2,-1,-1,REST
1763988350.4998884,0,-1,0,-3,-2,-1,-1,-2,REST
1763988350.5223727,-1,-2,-1,-1,-1,-1,-2,-1,REST
1763988350.5372803,0,0,0,0,0,-1,-1,-1,REST
1763988350.567974,-2,-2,-3,-3,-2,-3,-1,-2,REST
1763988350.5911171,-1,0,0,-1,-1,-2,-1,-2,REST
1763988350.5971959,-1,-2,-1,-2,-2,1,-1,0,REST
1763988350.619742,-1,-3,-3,-2,-3,-1,0,-1,REST
1763988350.6445777,-1,0,-2,-1,0,-1,0,0,REST
1763988350.6571767,1,-1,-1,-3,-2,0,-1,0,REST
1763988350.6797218,-1,-1,1,1,0,-2,-1,0,REST
1763988350.7031703,-3,-1,0,-1,0,0,0,0,REST
1763988350.7173724,0,0,-2,-1,-3,-1,-1,0,REST
1763988350.7398589,-1,-2,-1,2,-1,0,-2,-3,REST
1763988350.7629051,-4,-1,0,-2,1,-1,-1,-1,REST
1763988350.7855618,0,-1,-1,-2,-2,0,-2,0,REST
1763988350.799886,-1,-2,1,0,-1,-1,-1,0,REST
1763988350.8235269,0,-2,-1,-2,2,-1,0,-2,REST
1763988350.837182,-1,0,-2,0,-1,-3,-1,-2,REST
1763988350.867965,0,-2,-1,0,-2,1,-2,-1,REST
1763988350.8829515,-1,0,-1,-1,0,-2,1,0,REST
1763988350.8972747,-2,0,1,0,-3,-1,-2,-2,REST
1763988350.9197326,0,0,-2,-3,0,-1,0,-2,REST
1763988350.943235,-2,-2,0,-2,-1,0,0,-1,REST
1763988350.9573488,1,0,-1,-1,-1,-1,-1,0,REST
1763988350.9797974,-1,-2,-1,1,1,1,-1,-1,REST
1763988351.0031347,-2,-3,-2,-2,-2,-2,-2,-2,REST
1763988351.0172954,-2,1,0,-3,-2,-1,-2,1,REST
1763988351.0480576,-1,-2,-2,1,-1,0,0,0,REST
1763988351.062508,0,0,1,-1,-1,1,-1,-1,REST
1763988351.0858388,-2,0,1,0,-1,-3,-2,0,REST
1763988351.1081462,-1,-1,-1,0,1,-1,0,-1,REST
1763988351.1223383,0,-2,-1,0,0,0,-1,0,REST
1763988351.136604,2,-1,-2,-1,-2,-1,-1,-2,REST
1763988351.1447582,-1,-2,-3,-2,0,1,0,-2,REST
1763988351.160366,-1,0,-1,-1,-2,-1,-2,-2,REST
1763988351.1823132,-1,-4,-3,-1,-2,-3,-1,0,REST
1763988351.196714,-1,-3,-2,-5,-2,1,-1,-3,REST
1763988351.204978,0,-1,-1,-2,-2,-2,-1,-2,REST
1763988351.219802,-2,0,1,2,-1,-2,-1,0,REST
1763988351.2505226,-2,0,-1,-1,1,1,0,1,REST
1763988351.2654178,0,0,0,0,-1,-2,0,-1,REST
1763988351.2797616,0,-2,-2,-2,-3,-1,0,-3,REST
1763988351.3023033,-1,-2,0,0,1,-1,0,0,REST
1763988351.3166134,1,-1,-2,0,0,1,-1,-1,REST
1763988351.3248038,-2,0,1,-1,-2,0,-2,-2,REST
1763988351.3410842,-1,-1,-2,0,0,-2,-3,-2,REST
1763988351.362426,-1,0,-1,-1,-2,-1,-1,0,REST
1763988351.3765674,-2,-1,0,-2,1,-1,1,-2,REST
1763988351.3848565,1,-1,-1,-1,-1,-1,-1,0,REST
1763988351.3999124,-1,2,-1,-2,-3,-2,-1,-1,REST
1763988351.4223785,0,-1,0,-1,-1,-1,-2,0,REST
1763988351.4454472,-2,-3,0,1,0,0,-1,-2,REST
1763988351.4599032,0,0,-2,-1,-1,0,-1,-1,REST
1763988351.4823582,1,0,-1,-1,-1,-1,-1,-1,REST
1763988351.5055814,-1,1,-1,-1,-1,-1,1,0,REST
1763988351.5199025,-2,-2,0,-1,-1,-1,-1,-3,REST
1763988351.5423281,-1,1,-1,-2,-2,-1,0,0,REST
1763988351.56538,-2,-2,0,0,-2,-2,-1,0,REST
1763988351.5797293,0,-2,-2,-1,-1,-2,-2,1,REST
1763988351.6023118,0,-1,0,0,-1,1,-2,-2,REST
1763988351.6255832,-1,-4,0,0,1,-2,-2,-2,REST
1763988351.639873,-2,0,-3,-2,-3,0,-3,0,REST
1763988351.662399,0,-2,-3,-4,-2,-2,-2,-1,REST
1763988351.6854372,-1,-1,-1,4,0,-1,0,-2,REST
1763988351.7002182,-1,-2,1,-3,0,-1,-1,-3,REST
1763988351.7221844,0,1,-3,-2,-2,-1,0,-1,REST
1763988351.7455108,0,-2,-1,1,-2,-1,1,-1,REST
1763988351.7598474,-2,-1,-1,-2,-2,-2,0,0,REST
1763988351.7828014,-1,-1,0,-1,2,0,-1,1,REST
1763988351.7899008,0,-2,-1,-1,-2,-2,0,-1,REST
1763988351.8054934,0,2,-2,0,0,1,0,1,REST
1763988351.81988,-3,-1,1,-1,1,-3,-3,-2,REST
1763988351.8423758,0,-1,0,1,-1,0,0,-1,REST
1763988351.865859,-1,-1,-2,-3,-2,-1,0,-2,REST
1763988351.8797832,0,-2,-1,-2,-1,-1,-1,-1,REST
1763988351.902282,-2,-1,-1,-1,0,2,0,-1,REST
1763988351.9419358,-2,-2,-2,-1,-1,-1,-2,-1,REST
1763988351.947418,-1,-1,-1,-2,-1,-1,0,-1,REST
1763988351.9623544,0,-4,0,-1,-2,1,-1,0,REST
1763988351.9870868,-2,0,-3,1,-1,-1,-1,-1,REST
